payment_id,subscription_id,user_id,payment_date,amount_inr,payment_method,payment_status
PAY0000065,SUB000012,USR000009,2025-06-20,799,Credit Card,Failed
PAY0000066,SUB000012,USR000009,2025-07-20,799,UPI,Success
PAY0000067,SUB000012,USR000009,2025-08-19,799,UPI,Failed
PAY0000068,SUB000012,USR000009,2025-09-18,799,UPI,Success
PAY0000069,SUB000012,USR000009,2025-10-18,799,Net Banking,Success
PAY0000070,SUB000012,USR000009,2025-11-17,799,UPI,Success
PAY0000071,SUB000013,USR000010,2025-05-30,299,UPI,Success
PAY0000072,SUB000013,USR000010,2025-06-29,299,Debit Card,Success
PAY0000073,SUB000013,USR000010,2025-07-29,299,UPI,Success
PAY0000074,SUB000013,USR000010,2025-08-28,299,UPI,Success
PAY0000075,SUB000013,USR000010,2025-09-27,299,Net Banking,Success
PAY0000076,SUB000013,USR000010,2025-10-27,299,Wallet,Failed
PAY0000077,SUB000013,USR000010,2025-11-26,299,UPI,Success
PAY0000078,SUB000013,USR000010,2025-12-26,299,UPI,Failed
PAY0000079,SUB000014,USR000011,2025-07-25,149,Credit Card,Success
PAY0000080,SUB000014,USR000011,2025-08-24,149,Credit Card,Success
PAY0000081,SUB000014,USR000011,2025-09-23,149,Credit Card,Success
PAY0000082,SUB000014,USR000011,2025-10-23,149,Credit Card,Success
PAY0000083,SUB000014,USR000011,2025-11-22,149,Wallet,Success
PAY0000084,SUB000015,USR000012,2025-02-04,499,Credit Card,Success
PAY0000085,SUB000015,USR000012,2025-03-06,499,Debit Card,Success
PAY0000086,SUB000015,USR000012,2025-04-05,499,UPI,Success
PAY0000087,SUB000015,USR000012,2025-05-05,499,UPI,Success
PAY0000088,SUB000015,USR000012,2025-06-04,499,UPI,Success
PAY0000089,SUB000015,USR000012,2025-07-04,499,Credit Card,Success
PAY0000090,SUB000015,USR000012,2025-08-03,499,UPI,Success
PAY0000091,SUB000015,USR000012,2025-09-02,499,Wallet,Success
PAY0000092,SUB000015,USR000012,2025-10-02,499,UPI,Success
PAY0000093,SUB000016,USR000013,2025-05-17,499,UPI,Success
PAY0000094,SUB000016,USR000013,2025-06-16,499,Net Banking,Success
PAY0000095,SUB000016,USR000013,2025-07-16,499,Debit Card,Success
PAY0000096,SUB000016,USR000013,2025-08-15,499,Debit Card,Success
PAY0000097,SUB000016,USR000013,2025-09-14,499,Wallet,Success
PAY0000098,SUB000017,USR000014,2025-04-19,299,Credit Card,Success
PAY0000099,SUB000017,USR000014,2025-05-19,299,Net Banking,Success
PAY0000100,SUB000017,USR000014,2025-06-18,299,UPI,Failed
PAY0000101,SUB000017,USR000014,2025-07-18,299,Debit Card,Success
PAY0000102,SUB000017,USR000014,2025-08-17,299,Credit Card,Failed
PAY0000103,SUB000017,USR000014,2025-09-16,299,UPI,Success
PAY0000104,SUB000017,USR000014,2025-10-16,299,Debit Card,Success
PAY0000105,SUB000017,USR000014,2025-11-15,299,Debit Card,Success
PAY0000106,SUB000017,USR000014,2025-12-15,299,Net Banking,Success
PAY0000107,SUB000018,USR000015,2025-02-22,299,Debit Card,Success
PAY0000108,SUB000018,USR000015,2025-03-24,299,UPI,Success
PAY0000109,SUB000018,USR000015,2025-04-23,299,UPI,Success
PAY0000110,SUB000018,USR000015,2025-05-23,299,Debit Card,Success
PAY0000111,SUB000018,USR000015,2025-06-22,299,Credit Card,Failed
PAY0000112,SUB000018,USR000015,2025-07-22,299,UPI,Success
PAY0000113,SUB000018,USR000015,2025-08-21,299,Credit Card,Success
PAY0000114,SUB000018,USR000015,2025-09-20,299,Credit Card,Success
PAY0000115,SUB000018,USR000015,2025-10-20,299,UPI,Success
PAY0000116,SUB000018,USR000015,2025-11-19,299,Net Banking,Success
PAY0000117,SUB000018,USR000015,2025-12-19,299,Credit Card,Success
PAY0000118,SUB000019,USR000016,2025-05-18,299,Wallet,Success
PAY0000119,SUB000019,USR000016,2025-06-17,299,UPI,Success
PAY0000120,SUB000019,USR000016,2025-07-17,299,Net Banking,Success
PAY0000121,SUB000019,USR000016,2025-08-16,299,Credit Card,Success
PAY0000122,SUB000019,USR000016,2025-09-15,299,UPI,Success
PAY0000123,SUB000019,USR000016,2025-10-15,299,Credit Card,Success
PAY0000124,SUB000019,USR000016,2025-11-14,299,UPI,Success
PAY0000125,SUB000019,USR000016,2025-12-14,299,Debit Card,Success
PAY0000126,SUB000020,USR000017,2025-02-22,149,Net Banking,Success
PAY0000127,SUB000020,USR000017,2025-03-24,149,UPI,Success
PAY0000128,SUB000020,USR000017,2025-04-23,149,Wallet,Success
PAY0000129,SUB000020,USR000017,2025-05-23,149,Credit Card,Success
PAY0000130,SUB000020,USR000017,2025-06-22,149,UPI,Success
PAY0000131,SUB000020,USR000017,2025-07-22,149,UPI,Success
PAY0000132,SUB000020,USR000017,2025-08-21,149,UPI,Success
PAY0000133,SUB000020,USR000017,2025-09-20,149,Credit Card,Success
PAY0000134,SUB000020,USR000017,2025-10-20,149,UPI,Success
PAY0000135,SUB000020,USR000017,2025-11-19,149,Credit Card,Success
PAY0000136,SUB000020,USR000017,2025-12-19,149,Credit Card,Success
PAY0000137,SUB000021,USR000018,2025-05-03,499,UPI,Success
PAY0000138,SUB000021,USR000018,2025-06-02,499,Credit Card,Success
PAY0000139,SUB000021,USR000018,2025-07-02,499,UPI,Success
PAY0000140,SUB000021,USR000018,2025-08-01,499,Credit Card,Success
PAY0000141,SUB000021,USR000018,2025-08-31,499,UPI,Success
PAY0000142,SUB000021,USR000018,2025-09-30,499,Debit Card,Success
PAY0000143,SUB000022,USR000019,2025-03-09,499,UPI,Success
PAY0000144,SUB000022,USR000019,2025-04-08,499,Wallet,Success
PAY0000145,SUB000022,USR000019,2025-05-08,499,Credit Card,Success
PAY0000146,SUB000022,USR000019,2025-06-07,499,Debit Card,Success
PAY0000147,SUB000022,USR000019,2025-07-07,499,UPI,Success
PAY0000148,SUB000022,USR000019,2025-08-06,499,Credit Card,Success
PAY0000149,SUB000022,USR000019,2025-09-05,499,Debit Card,Success
PAY0000150,SUB000022,USR000019,2025-10-05,499,Debit Card,Success
PAY0000151,SUB000022,USR000019,2025-11-04,499,UPI,Success
PAY0000152,SUB000023,USR000019,2025-11-29,299,Debit Card,Success
PAY0000153,SUB000023,USR000019,2025-12-29,299,Credit Card,Success
PAY0000154,SUB000024,USR000020,2025-03-25,499,UPI,Success
PAY0000155,SUB000024,USR000020,2025-04-24,499,Debit Card,Success
PAY0000156,SUB000024,USR000020,2025-05-24,499,UPI,Success
PAY0000157,SUB000024,USR000020,2025-06-23,499,UPI,Success
PAY0000158,SUB000025,USR000020,2025-07-05,799,UPI,Failed
PAY0000159,SUB000025,USR000020,2025-08-04,799,UPI,Success
PAY0000160,SUB000025,USR000020,2025-09-03,799,UPI,Success
PAY0000161,SUB000025,USR000020,2025-10-03,799,Wallet,Success
PAY0000162,SUB000025,USR000020,2025-11-02,799,UPI,Success
PAY0000163,SUB000025,USR000020,2025-12-02,799,UPI,Success
PAY0000164,SUB000026,USR000021,2025-04-09,149,Net Banking,Success
PAY0000165,SUB000026,USR000021,2025-05-09,149,Wallet,Success
PAY0000166,SUB000026,USR000021,2025-06-08,149,UPI,Success
PAY0000167,SUB000026,USR000021,2025-07-08,149,UPI,Success
PAY0000168,SUB000026,USR000021,2025-08-07,149,Credit Card,Success
PAY0000169,SUB000026,USR000021,2025-09-06,149,UPI,Success
PAY0000170,SUB000026,USR000021,2025-10-06,149,Debit Card,Success
PAY0000171,SUB000026,USR000021,2025-11-05,149,UPI,Success
PAY0000172,SUB000026,USR000021,2025-12-05,149,UPI,Success
PAY0000173,SUB000027,USR000022,2025-06-01,299,UPI,Success
PAY0000174,SUB000027,USR000022,2025-07-01,299,UPI,Success
PAY0000175,SUB000027,USR000022,2025-07-31,299,Debit Card,Success
PAY0000176,SUB000027,USR000022,2025-08-30,299,Debit Card,Success
PAY0000177,SUB000027,USR000022,2025-09-29,299,UPI,Success
PAY0000178,SUB000027,USR000022,2025-10-29,299,Credit Card,Success
PAY0000179,SUB000028,USR000023,2025-02-28,299,UPI,Success
PAY0000180,SUB000028,USR000023,2025-03-30,299,UPI,Failed
PAY0000181,SUB000028,USR000023,2025-04-29,299,UPI,Success
PAY0000182,SUB000028,USR000023,2025-05-29,299,Credit Card,Success
PAY0000183,SUB000028,USR000023,2025-06-28,299,UPI,Success
PAY0000184,SUB000028,USR000023,2025-07-28,299,UPI,Success
PAY0000185,SUB000029,USR000024,2025-04-30,299,Wallet,Success
PAY0000186,SUB000029,USR000024,2025-05-30,299,UPI,Success
PAY0000187,SUB000029,USR000024,2025-06-29,299,Debit Card,Success
PAY0000188,SUB000029,USR000024,2025-07-29,299,UPI,Success
PAY0000189,SUB000029,USR000024,2025-08-28,299,Debit Card,Success
PAY0000190,SUB000029,USR000024,2025-09-27,299,UPI,Success
PAY0000191,SUB000029,USR000024,2025-10-27,299,UPI,Success
PAY0000192,SUB000029,USR000024,2025-11-26,299,UPI,Success
PAY0000193,SUB000029,USR000024,2025-12-26,299,Wallet,Success
PAY0000194,SUB000030,USR000025,2025-03-21,299,UPI,Success
PAY0000195,SUB000030,USR000025,2025-04-20,299,Wallet,Success
PAY0000196,SUB000030,USR000025,2025-05-20,299,Credit Card,Success
PAY0000197,SUB000030,USR000025,2025-06-19,299,UPI,Success
PAY0000198,SUB000030,USR000025,2025-07-19,299,Credit Card,Success
PAY0000199,SUB000030,USR000025,2025-08-18,299,Credit Card,Failed
PAY0000200,SUB000030,USR000025,2025-09-17,299,UPI,Success
PAY0000201,SUB000030,USR000025,2025-10-17,299,UPI,Success
PAY0000202,SUB000030,USR000025,2025-11-16,299,Credit Card,Success
PAY0000203,SUB000030,USR000025,2025-12-16,299,Credit Card,Success
PAY0000204,SUB000031,USR000026,2025-03-17,149,Credit Card,Success
PAY0000205,SUB000031,USR000026,2025-04-16,149,UPI,Success
PAY0000206,SUB000031,USR000026,2025-05-16,149,UPI,Success
PAY0000207,SUB000031,USR000026,2025-06-15,149,UPI,Success
PAY0000208,SUB000031,USR000026,2025-07-15,149,Credit Card,Success
PAY0000209,SUB000031,USR000026,2025-08-14,149,UPI,Success
PAY0000210,SUB000031,USR000026,2025-09-13,149,UPI,Success
PAY0000211,SUB000031,USR000026,2025-10-13,149,Net Banking,Success
PAY0000212,SUB000031,USR000026,2025-11-12,149,Debit Card,Failed
PAY0000213,SUB000031,USR000026,2025-12-12,149,Debit Card,Success
PAY0000214,SUB000032,USR000027,2025-05-19,499,Debit Card,Success
PAY0000215,SUB000032,USR000027,2025-06-18,499,UPI,Failed
PAY0000216,SUB000032,USR000027,2025-07-18,499,Debit Card,Success
PAY0000217,SUB000032,USR000027,2025-08-17,499,UPI,Failed
PAY0000218,SUB000032,USR000027,2025-09-16,499,UPI,Success
PAY0000219,SUB000033,USR000028,2025-03-19,149,Wallet,Success
PAY0000220,SUB000033,USR000028,2025-04-18,149,UPI,Success
PAY0000221,SUB000033,USR000028,2025-05-18,149,UPI,Success
PAY0000222,SUB000033,USR000028,2025-06-17,149,UPI,Success
PAY0000223,SUB000033,USR000028,2025-07-17,149,UPI,Success
PAY0000224,SUB000033,USR000028,2025-08-16,149,UPI,Failed
PAY0000225,SUB000033,USR000028,2025-09-15,149,UPI,Success
PAY0000226,SUB000033,USR000028,2025-10-15,149,UPI,Success
PAY0000227,SUB000033,USR000028,2025-11-14,149,Wallet,Success
PAY0000228,SUB000033,USR000028,2025-12-14,149,Net Banking,Success
PAY0000229,SUB000034,USR000029,2025-03-17,499,Debit Card,Success
PAY0000230,SUB000034,USR000029,2025-04-16,499,Debit Card,Success
PAY0000231,SUB000034,USR000029,2025-05-16,499,UPI,Success
PAY0000232,SUB000034,USR000029,2025-06-15,499,UPI,Success
PAY0000233,SUB000034,USR000029,2025-07-15,499,Credit Card,Success
PAY0000234,SUB000034,USR000029,2025-08-14,499,Credit Card,Success
PAY0000235,SUB000034,USR000029,2025-09-13,499,UPI,Failed
PAY0000236,SUB000034,USR000029,2025-10-13,499,Net Banking,Failed
PAY0000237,SUB000034,USR000029,2025-11-12,499,UPI,Success
PAY0000238,SUB000034,USR000029,2025-12-12,499,UPI,Failed
PAY0000239,SUB000035,USR000030,2025-04-20,499,Net Banking,Failed
PAY0000240,SUB000035,USR000030,2025-05-20,499,UPI,Success
PAY0000241,SUB000035,USR000030,2025-06-19,499,Credit Card,Success
PAY0000242,SUB000035,USR000030,2025-07-19,499,UPI,Success
PAY0000243,SUB000036,USR000031,2025-02-12,799,Credit Card,Success
PAY0000244,SUB000036,USR000031,2025-03-14,799,UPI,Success
PAY0000245,SUB000036,USR000031,2025-04-13,799,Debit Card,Success
PAY0000246,SUB000036,USR000031,2025-05-13,799,UPI,Success
PAY0000247,SUB000036,USR000031,2025-06-12,799,UPI,Success
PAY0000248,SUB000036,USR000031,2025-07-12,799,Net Banking,Success
PAY0000249,SUB000036,USR000031,2025-08-11,799,UPI,Success
PAY0000250,SUB000036,USR000031,2025-09-10,799,Net Banking,Success
PAY0000251,SUB000036,USR000031,2025-10-10,799,UPI,Success
PAY0000252,SUB000036,USR000031,2025-11-09,799,Credit Card,Success
PAY0000253,SUB000036,USR000031,2025-12-09,799,Credit Card,Success
PAY0000254,SUB000037,USR000032,2025-03-23,299,UPI,Success
PAY0000255,SUB000037,USR000032,2025-04-22,299,Net Banking,Success
PAY0000256,SUB000037,USR000032,2025-05-22,299,Debit Card,Success
PAY0000257,SUB000037,USR000032,2025-06-21,299,Debit Card,Success
PAY0000258,SUB000037,USR000032,2025-07-21,299,Credit Card,Success
PAY0000259,SUB000037,USR000032,2025-08-20,299,UPI,Success
PAY0000260,SUB000037,USR000032,2025-09-19,299,Credit Card,Success
PAY0000261,SUB000037,USR000032,2025-10-19,299,UPI,Success
PAY0000262,SUB000037,USR000032,2025-11-18,299,UPI,Success
PAY0000263,SUB000037,USR000032,2025-12-18,299,UPI,Success
PAY0000264,SUB000038,USR000033,2025-05-01,149,UPI,Success
PAY0000265,SUB000038,USR000033,2025-05-31,149,UPI,Success
PAY0000266,SUB000038,USR000033,2025-06-30,149,Credit Card,Success
PAY0000267,SUB000038,USR000033,2025-07-30,149,Debit Card,Success
PAY0000268,SUB000038,USR000033,2025-08-29,149,Debit Card,Success
PAY0000269,SUB000038,USR000033,2025-09-28,149,UPI,Success
PAY0000270,SUB000038,USR000033,2025-10-28,149,UPI,Success
PAY0000271,SUB000038,USR000033,2025-11-27,149,UPI,Success
PAY0000272,SUB000038,USR000033,2025-12-27,149,UPI,Success
PAY0000273,SUB000039,USR000034,2025-01-19,299,Net Banking,Success
PAY0000274,SUB000039,USR000034,2025-02-18,299,UPI,Success
PAY0000275,SUB000039,USR000034,2025-03-20,299,UPI,Failed
PAY0000276,SUB000039,USR000034,2025-04-19,299,Net Banking,Success
PAY0000277,SUB000039,USR000034,2025-05-19,299,Credit Card,Success
PAY0000278,SUB000039,USR000034,2025-06-18,299,UPI,Success
PAY0000279,SUB000039,USR000034,2025-07-18,299,Credit Card,Success
PAY0000280,SUB000039,USR000034,2025-08-17,299,UPI,Success
PAY0000281,SUB000039,USR000034,2025-09-16,299,UPI,Success
PAY0000282,SUB000040,USR000035,2025-02-16,149,Credit Card,Success
PAY0000283,SUB000040,USR000035,2025-03-18,149,Debit Card,Success
PAY0000284,SUB000040,USR000035,2025-04-17,149,Credit Card,Success
PAY0000285,SUB000040,USR000035,2025-05-17,149,Debit Card,Success
PAY0000286,SUB000040,USR000035,2025-06-16,149,Credit Card,Success
PAY0000287,SUB000040,USR000035,2025-07-16,149,Net Banking,Success
PAY0000288,SUB000040,USR000035,2025-08-15,149,Debit Card,Success
PAY0000289,SUB000040,USR000035,2025-09-14,149,UPI,Success
PAY0000290,SUB000040,USR000035,2025-10-14,149,UPI,Success
PAY0000291,SUB000040,USR000035,2025-11-13,149,UPI,Success
PAY0000292,SUB000040,USR000035,2025-12-13,149,UPI,Success
PAY0000293,SUB000041,USR000036,2025-03-24,149,Credit Card,Success
PAY0000294,SUB000041,USR000036,2025-04-23,149,Credit Card,Success
PAY0000295,SUB000041,USR000036,2025-05-23,149,UPI,Success
PAY0000296,SUB000041,USR000036,2025-06-22,149,Wallet,Failed
PAY0000297,SUB000041,USR000036,2025-07-22,149,Debit Card,Success
PAY0000298,SUB000041,USR000036,2025-08-21,149,UPI,Success
PAY0000299,SUB000042,USR000036,2025-09-06,299,Net Banking,Success
PAY0000300,SUB000042,USR000036,2025-10-06,299,Credit Card,Success
PAY0000301,SUB000042,USR000036,2025-11-05,299,Credit Card,Success
PAY0000302,SUB000042,USR000036,2025-12-05,299,Debit Card,Success
PAY0000303,SUB000043,USR000037,2025-05-14,799,Credit Card,Success
PAY0000304,SUB000043,USR000037,2025-06-13,799,Wallet,Success
PAY0000305,SUB000043,USR000037,2025-07-13,799,UPI,Success
PAY0000306,SUB000043,USR000037,2025-08-12,799,UPI,Success
PAY0000307,SUB000043,USR000037,2025-09-11,799,Credit Card,Success
PAY0000308,SUB000043,USR000037,2025-10-11,799,UPI,Success
PAY0000309,SUB000043,USR000037,2025-11-10,799,Debit Card,Success
PAY0000310,SUB000044,USR000038,2025-08-28,799,UPI,Success
PAY0000311,SUB000044,USR000038,2025-09-27,799,Credit Card,Success
PAY0000312,SUB000044,USR000038,2025-10-27,799,UPI,Success
PAY0000313,SUB000044,USR000038,2025-11-26,799,Net Banking,Failed
PAY0000314,SUB000044,USR000038,2025-12-26,799,Debit Card,Failed
PAY0000315,SUB000045,USR000039,2025-03-09,299,Wallet,Failed
PAY0000316,SUB000045,USR000039,2025-04-08,299,UPI,Success
PAY0000317,SUB000045,USR000039,2025-05-08,299,UPI,Success
PAY0000318,SUB000045,USR000039,2025-06-07,299,UPI,Success
PAY0000319,SUB000045,USR000039,2025-07-07,299,Wallet,Success
PAY0000320,SUB000045,USR000039,2025-08-06,299,Credit Card,Success
PAY0000321,SUB000045,USR000039,2025-09-05,299,Wallet,Success
PAY0000322,SUB000045,USR000039,2025-10-05,299,Net Banking,Success
PAY0000323,SUB000045,USR000039,2025-11-04,299,UPI,Success
PAY0000324,SUB000045,USR000039,2025-12-04,299,UPI,Success
PAY0000325,SUB000046,USR000040,2025-01-29,499,Wallet,Success
PAY0000326,SUB000046,USR000040,2025-02-28,499,Credit Card,Success
PAY0000327,SUB000046,USR000040,2025-03-30,499,UPI,Success
PAY0000328,SUB000046,USR000040,2025-04-29,499,Wallet,Failed
PAY0000329,SUB000046,USR000040,2025-05-29,499,UPI,Success
PAY0000330,SUB000046,USR000040,2025-06-28,499,Debit Card,Success
PAY0000331,SUB000046,USR000040,2025-07-28,499,Net Banking,Success
PAY0000332,SUB000046,USR000040,2025-08-27,499,UPI,Failed
PAY0000333,SUB000047,USR000041,2025-01-30,499,UPI,Success
PAY0000334,SUB000047,USR000041,2025-03-01,499,Credit Card,Success
PAY0000335,SUB000047,USR000041,2025-03-31,499,Credit Card,Success
PAY0000336,SUB000047,USR000041,2025-04-30,499,Credit Card,Success
PAY0000337,SUB000047,USR000041,2025-05-30,499,Net Banking,Success
PAY0000338,SUB000047,USR000041,2025-06-29,499,UPI,Success
PAY0000339,SUB000047,USR000041,2025-07-29,499,UPI,Success
PAY0000340,SUB000047,USR000041,2025-08-28,499,Credit Card,Success
PAY0000341,SUB000047,USR000041,2025-09-27,499,UPI,Success
PAY0000342,SUB000048,USR000041,2025-10-17,499,UPI,Success
PAY0000343,SUB000048,USR000041,2025-11-16,499,Credit Card,Success
PAY0000344,SUB000048,USR000041,2025-12-16,499,Wallet,Success
PAY0000345,SUB000049,USR000042,2025-03-13,299,UPI,Failed
PAY0000346,SUB000049,USR000042,2025-04-12,299,UPI,Success
PAY0000347,SUB000049,USR000042,2025-05-12,299,Credit Card,Success
PAY0000348,SUB000049,USR000042,2025-06-11,299,Debit Card,Success
PAY0000349,SUB000049,USR000042,2025-07-11,299,UPI,Success
PAY0000350,SUB000049,USR000042,2025-08-10,299,UPI,Success
PAY0000351,SUB000049,USR000042,2025-09-09,299,Credit Card,Success
PAY0000352,SUB000049,USR000042,2025-10-09,299,UPI,Success
PAY0000353,SUB000049,USR000042,2025-11-08,299,Wallet,Success
PAY0000354,SUB000049,USR000042,2025-12-08,299,Credit Card,Failed
PAY0000355,SUB000050,USR000042,2025-12-10,299,UPI,Success
PAY0000356,SUB000051,USR000043,2025-07-25,299,UPI,Success
PAY0000357,SUB000051,USR000043,2025-08-24,299,UPI,Success
PAY0000358,SUB000051,USR000043,2025-09-23,299,UPI,Success
PAY0000359,SUB000051,USR000043,2025-10-23,299,UPI,Success
PAY0000360,SUB000051,USR000043,2025-11-22,299,Net Banking,Success
PAY0000361,SUB000051,USR000043,2025-12-22,299,Credit Card,Failed
PAY0000362,SUB000052,USR000044,2025-01-26,799,UPI,Success
PAY0000363,SUB000052,USR000044,2025-02-25,799,Wallet,Success
PAY0000364,SUB000052,USR000044,2025-03-27,799,Debit Card,Success
PAY0000365,SUB000052,USR000044,2025-04-26,799,Wallet,Failed
PAY0000366,SUB000052,USR000044,2025-05-26,799,UPI,Success
PAY0000367,SUB000052,USR000044,2025-06-25,799,UPI,Success
PAY0000368,SUB000052,USR000044,2025-07-25,799,UPI,Success
PAY0000369,SUB000052,USR000044,2025-08-24,799,UPI,Success
PAY0000370,SUB000052,USR000044,2025-09-23,799,UPI,Success
PAY0000371,SUB000052,USR000044,2025-10-23,799,Credit Card,Success
PAY0000372,SUB000052,USR000044,2025-11-22,799,UPI,Success
PAY0000373,SUB000052,USR000044,2025-12-22,799,Credit Card,Success
PAY0000374,SUB000053,USR000045,2025-04-01,149,Debit Card,Success
PAY0000375,SUB000053,USR000045,2025-05-01,149,Debit Card,Success
PAY0000376,SUB000053,USR000045,2025-05-31,149,UPI,Success
PAY0000377,SUB000053,USR000045,2025-06-30,149,Credit Card,Success
PAY0000378,SUB000054,USR000046,2025-04-30,149,Credit Card,Success
PAY0000379,SUB000054,USR000046,2025-05-30,149,UPI,Success
PAY0000380,SUB000054,USR000046,2025-06-29,149,Debit Card,Success
PAY0000381,SUB000054,USR000046,2025-07-29,149,UPI,Success
PAY0000382,SUB000054,USR000046,2025-08-28,149,Credit Card,Success
PAY0000383,SUB000054,USR000046,2025-09-27,149,UPI,Success
PAY0000384,SUB000054,USR000046,2025-10-27,149,UPI,Success
PAY0000385,SUB000054,USR000046,2025-11-26,149,Credit Card,Success
PAY0000386,SUB000054,USR000046,2025-12-26,149,Wallet,Success
PAY0000387,SUB000055,USR000047,2025-03-02,149,Net Banking,Success
PAY0000388,SUB000055,USR000047,2025-04-01,149,Credit Card,Success
PAY0000389,SUB000055,USR000047,2025-05-01,149,UPI,Failed
PAY0000390,SUB000055,USR000047,2025-05-31,149,Debit Card,Success
PAY0000391,SUB000055,USR000047,2025-06-30,149,Credit Card,Success
PAY0000392,SUB000055,USR000047,2025-07-30,149,UPI,Success
PAY0000393,SUB000055,USR000047,2025-08-29,149,Credit Card,Success
PAY0000394,SUB000056,USR000048,2025-05-31,799,UPI,Success
PAY0000395,SUB000056,USR000048,2025-06-30,799,UPI,Success
PAY0000396,SUB000056,USR000048,2025-07-30,799,UPI,Success
PAY0000397,SUB000056,USR000048,2025-08-29,799,UPI,Success
