subscription_id,user_id,plan_name,monthly_price_inr,start_date,end_date,status,auto_renew
SUB000032,USR000027,Standard,499,2025-05-19,2025-09-30,Cancelled,True
SUB000033,USR000028,Mobile,149,2025-03-19,2026-01-01,Active,True
SUB000034,USR000029,Standard,499,2025-03-17,2026-01-01,Active,True
SUB000035,USR000030,Standard,499,2025-04-20,2025-08-13,Cancelled,True
SUB000036,USR000031,Premium,799,2025-02-12,2026-01-01,Active,False
SUB000037,USR000032,Basic,299,2025-03-23,2026-01-01,Active,False
SUB000038,USR000033,Mobile,149,2025-05-01,2026-01-01,Active,False
SUB000039,USR000034,Basic,299,2025-01-19,2025-09-17,Expired,True
SUB000040,USR000035,Mobile,149,2025-02-16,2026-01-01,Active,False
SUB000041,USR000036,Mobile,149,2025-03-24,2025-09-05,Expired,True
SUB000042,USR000036,Basic,299,2025-09-06,2026-01-01,Active,True
SUB000043,USR000037,Premium,799,2025-05-14,2025-11-13,Expired,True
SUB000044,USR000038,Premium,799,2025-08-28,2026-01-01,Active,True
SUB000045,USR000039,Basic,299,2025-03-09,2026-01-01,Active,False
SUB000046,USR000040,Standard,499,2025-01-29,2025-09-07,Cancelled,True
SUB000047,USR000041,Standard,499,2025-01-30,2025-10-16,Expired,True
SUB000048,USR000041,Standard,499,2025-10-17,2026-01-01,Active,True
SUB000049,USR000042,Basic,299,2025-03-13,2025-12-09,Expired,False
SUB000050,USR000042,Basic,299,2025-12-10,2026-01-01,Active,True
SUB000051,USR000043,Basic,299,2025-07-25,2026-01-01,Active,True
SUB000052,USR000044,Premium,799,2025-01-26,2026-01-01,Active,True
SUB000053,USR000045,Mobile,149,2025-04-01,2025-07-26,Expired,True
SUB000054,USR000046,Mobile,149,2025-04-30,2026-01-01,Active,True
SUB000055,USR000047,Mobile,149,2025-03-02,2025-09-07,Expired,True
SUB000056,USR000048,Premium,799,2025-05-31,2026-01-01,Active,True
SUB000057,USR000049,Premium,799,2025-06-27,2026-01-01,Active,True
SUB000058,USR000050,Mobile,149,2025-02-07,2025-10-23,Cancelled,False
SUB000059,USR000051,Premium,799,2025-05-19,2026-01-01,Active,True
SUB000060,USR000052,Basic,299,2025-04-30,2025-12-01,Cancelled,False
SUB000061,USR000052,Standard,499,2025-12-02,2026-01-01,Active,True
SUB000062,USR000053,Mobile,149,2025-03-29,2026-01-01,Active,False
SUB000063,USR000054,Premium,799,2025-03-04,2025-09-29,Expired,True
SUB000064,USR000054,Standard,499,2025-09-30,2026-01-01,Active,True
SUB000065,USR000055,Standard,499,2025-06-26,2026-01-01,Active,True
SUB000066,USR000056,Standard,499,2025-02-09,2025-08-31,Cancelled,True
SUB000067,USR000057,Mobile,149,2025-03-11,2026-01-01,Active,True
SUB000068,USR000058,Basic,299,2025-05-13,2026-01-01,Active,True
SUB000069,USR000059,Premium,799,2025-04-27,2026-01-01,Active,True
SUB000070,USR000060,Standard,499,2025-06-23,2025-12-15,Expired,False
SUB000071,USR000061,Standard,499,2025-02-23,2025-08-27,Cancelled,True
SUB000072,USR000061,Mobile,149,2025-08-28,2026-01-01,Active,False
SUB000073,USR000062,Mobile,149,2025-06-08,2025-12-26,Cancelled,True
SUB000074,USR000062,Mobile,149,2025-12-27,2026-01-01,Active,False
SUB000075,USR000063,Basic,299,2025-05-01,2025-12-29,Expired,True
SUB000076,USR000064,Basic,299,2025-04-22,2025-07-30,Expired,True
SUB000077,USR000065,Mobile,149,2025-02-10,2025-09-25,Expired,True
SUB000078,USR000065,Premium,799,2025-09-26,2026-01-01,Active,True
SUB000079,USR000066,Basic,299,2025-05-09,2025-11-17,Cancelled,False
SUB000080,USR000067,Basic,299,2025-03-11,2025-11-24,Cancelled,False
SUB000081,USR000068,Basic,299,2025-10-11,2026-01-01,Active,True
SUB000082,USR000069,Mobile,149,2025-02-21,2025-06-23,Expired,False
SUB000083,USR000069,Basic,299,2025-06-24,2025-10-02,Expired,True
SUB000084,USR000070,Premium,799,2025-02-19,2025-07-19,Expired,True
SUB000085,USR000070,Basic,299,2025-07-20,2025-11-25,Expired,True
SUB000086,USR000071,Standard,499,2025-05-14,2026-01-01,Active,True
SUB000087,USR000072,Standard,499,2025-01-15,2025-11-26,Expired,True
SUB000088,USR000072,Standard,499,2025-11-27,2026-01-01,Active,True
SUB000089,USR000073,Standard,499,2025-03-06,2025-09-06,Cancelled,False
SUB000090,USR000074,Mobile,149,2025-04-10,2025-07-28,Cancelled,False
SUB000091,USR000075,Basic,299,2025-04-11,2026-01-01,Active,True
SUB000092,USR000076,Mobile,149,2025-01-28,2026-01-01,Active,True
SUB000093,USR000077,Standard,499,2025-06-17,2026-01-01,Active,False
SUB000094,USR000078,Basic,299,2025-07-21,2026-01-01,Active,True
SUB000095,USR000079,Basic,299,2025-04-10,2025-11-16,Expired,True
SUB000096,USR000080,Mobile,149,2025-01-26,2026-01-01,Active,False
SUB000097,USR000081,Basic,299,2025-01-19,2025-08-01,Cancelled,False
SUB000098,USR000081,Standard,499,2025-08-02,2025-10-19,Expired,False
SUB000099,USR000082,Basic,299,2025-02-24,2026-01-01,Active,True
SUB000100,USR000083,Basic,299,2025-05-06,2026-01-01,Active,True
SUB000101,USR000084,Premium,799,2025-02-15,2025-11-08,Cancelled,True
SUB000102,USR000085,Mobile,149,2025-02-14,2025-12-24,Expired,False
SUB000103,USR000085,Premium,799,2025-12-25,2026-01-01,Active,True
SUB000104,USR000086,Mobile,149,2025-05-05,2026-01-01,Active,True
SUB000105,USR000087,Premium,799,2025-03-31,2025-11-29,Cancelled,True
SUB000106,USR000088,Standard,499,2025-04-25,2026-01-01,Active,True
SUB000107,USR000089,Premium,799,2025-06-07,2025-11-22,Expired,False
SUB000108,USR000089,Mobile,149,2025-11-23,2026-01-01,Active,False
SUB000109,USR000090,Premium,799,2025-03-15,2025-10-02,Cancelled,False
SUB000110,USR000090,Standard,499,2025-10-03,2026-01-01,Active,True
SUB000111,USR000091,Mobile,149,2025-04-01,2025-09-19,Expired,True
SUB000112,USR000092,Premium,799,2025-03-09,2025-12-13,Expired,True
SUB000113,USR000093,Basic,299,2025-04-11,2026-01-01,Active,True
SUB000114,USR000094,Standard,499,2025-04-03,2025-07-13,Expired,False
SUB000115,USR000095,Standard,499,2025-05-11,2026-01-01,Active,True
SUB000116,USR000096,Standard,499,2025-06-11,2025-10-12,Expired,True
SUB000117,USR000096,Basic,299,2025-10-13,2026-01-01,Active,True
SUB000118,USR000097,Basic,299,2025-05-27,2026-01-01,Active,True
SUB000119,USR000098,Mobile,149,2025-02-07,2025-06-28,Expired,False
SUB000120,USR000099,Mobile,149,2025-03-23,2025-10-24,Expired,True
SUB000121,USR000100,Basic,299,2025-03-08,2026-01-01,Active,True
SUB000122,USR000101,Standard,499,2025-04-02,2025-07-19,Expired,True
SUB000123,USR000101,Basic,299,2025-07-20,2026-01-01,Active,True
SUB000124,USR000102,Mobile,149,2025-07-06,2026-01-01,Active,True
SUB000125,USR000103,Standard,499,2025-02-19,2026-01-01,Active,True
SUB000126,USR000104,Standard,499,2025-03-08,2025-09-03,Cancelled,False
SUB000127,USR000104,Premium,799,2025-09-04,2026-01-01,Active,False
SUB000128,USR000105,Mobile,149,2025-04-06,2026-01-01,Active,False
SUB000129,USR000106,Basic,299,2025-03-19,2025-08-13,Expired,True
SUB000130,USR000107,Basic,299,2025-03-04,2025-06-28,Cancelled,True
SUB000131,USR000108,Standard,499,2025-04-27,2026-01-01,Active,True
SUB000132,USR000109,Basic,299,2025-04-13,2025-11-23,Cancelled,True
SUB000133,USR000110,Standard,499,2025-03-08,2026-01-01,Active,True
SUB000134,USR000111,Premium,799,2025-01-27,2025-12-22,Expired,True
SUB000135,USR000112,Basic,299,2025-06-06,2026-01-01,Active,True
SUB000136,USR000113,Standard,499,2025-03-07,2025-12-13,Expired,True
SUB000137,USR000114,Mobile,149,2025-08-24,2026-01-01,Active,True
SUB000138,USR000115,Basic,299,2025-07-13,2025-10-20,Expired,True
SUB000139,USR000115,Standard,499,2025-10-21,2026-01-01,Active,True
SUB000140,USR000116,Standard,499,2025-05-30,2026-01-01,Active,True
SUB000141,USR000117,Premium,799,2025-06-05,2026-01-01,Active,True
SUB000142,USR000118,Mobile,149,2025-06-29,2025-12-21,Cancelled,True
SUB000143,USR000119,Standard,499,2025-06-18,2026-01-01,Active,True
SUB000144,USR000120,Mobile,149,2025-05-05,2025-09-24,Expired,True
SUB000145,USR000121,Premium,799,2025-05-13,2026-01-01,Active,True
SUB000146,USR000122,Premium,799,2025-07-26,2026-01-01,Active,True
SUB000147,USR000123,Standard,499,2025-04-24,2025-11-25,Expired,True
SUB000148,USR000123,Basic,299,2025-11-26,2026-01-01,Active,True
SUB000149,USR000124,Basic,299,2025-02-24,2025-09-12,Expired,False
SUB000150,USR000124,Basic,299,2025-09-13,2026-01-01,Active,True
SUB000151,USR000125,Mobile,149,2025-06-16,2026-01-01,Active,True
SUB000152,USR000126,Basic,299,2025-05-14,2025-08-27,Cancelled,False
SUB000153,USR000127,Mobile,149,2025-01-26,2025-11-08,Expired,True
SUB000154,USR000128,Standard,499,2025-03-28,2026-01-01,Active,True
SUB000155,USR000129,Mobile,149,2025-03-27,2026-01-01,Active,True
SUB000156,USR000130,Basic,299,2025-07-25,2026-01-01,Active,True
SUB000157,USR000131,Standard,499,2025-03-27,2025-10-24,Expired,True
SUB000158,USR000131,Standard,499,2025-10-25,2026-01-01,Active,False
SUB000159,USR000132,Basic,299,2025-02-25,2025-09-25,Expired,False
SUB000160,USR000132,Standard,499,2025-09-26,2026-01-01,Active,True
SUB000161,USR000133,Basic,299,2025-06-28,2026-01-01,Active,True
SUB000162,USR000134,Mobile,149,2025-03-06,2025-07-17,Cancelled,True
SUB000163,USR000135,Mobile,149,2025-01-23,2025-07-31,Cancelled,True
SUB000164,USR000136,Standard,499,2025-05-15,2026-01-01,Active,True
SUB000165,USR000137,Premium,799,2025-04-30,2025-11-22,Expired,True
SUB000166,USR000138,Basic,299,2025-04-22,2026-01-01,Active,True
SUB000167,USR000139,Basic,299,2025-05-17,2025-09-16,Expired,True
SUB000168,USR000139,Mobile,149,2025-09-17,2026-01-01,Active,False
SUB000169,USR000140,Standard,499,2025-06-01,2025-09-25,Expired,True
SUB000170,USR000140,Basic,299,2025-09-26,2026-01-01,Active,False
SUB000171,USR000141,Basic,299,2025-05-06,2025-10-21,Expired,False
SUB000172,USR000142,Premium,799,2025-03-17,2025-12-07,Cancelled,False
SUB000173,USR000143,Basic,299,2025-02-16,2026-01-01,Active,False
SUB000174,USR000144,Standard,499,2025-01-25,2025-05-29,Cancelled,False
SUB000175,USR000144,Premium,799,2025-05-30,2025-12-09,Expired,True
SUB000176,USR000145,Mobile,149,2025-05-28,2025-10-29,Cancelled,False
SUB000177,USR000146,Mobile,149,2025-04-03,2025-11-14,Cancelled,True
SUB000178,USR000146,Mobile,149,2025-11-15,2026-01-01,Active,True
SUB000179,USR000147,Basic,299,2025-03-07,2026-01-01,Active,True
SUB000180,USR000148,Mobile,149,2025-01-28,2025-10-15,Expired,True
SUB000181,USR000148,Standard,499,2025-10-16,2026-01-01,Active,True
SUB000182,USR000149,Standard,499,2025-03-26,2026-01-01,Active,False
SUB000183,USR000150,Mobile,149,2025-05-22,2026-01-01,Active,True
SUB000184,USR000151,Mobile,149,2025-05-08,2025-09-24,Expired,True
SUB000185,USR000151,Basic,299,2025-09-25,2026-01-01,Active,True
SUB000186,USR000152,Standard,499,2025-02-23,2025-08-05,Cancelled,True
SUB000187,USR000152,Standard,499,2025-08-06,2026-01-01,Active,True
SUB000188,USR000153,Mobile,149,2025-03-25,2026-01-01,Active,True
SUB000189,USR000154,Standard,499,2025-02-23,2025-10-14,Expired,False
SUB000190,USR000154,Basic,299,2025-10-15,2026-01-01,Active,True
SUB000191,USR000155,Mobile,149,2025-01-27,2026-01-01,Active,True
SUB000192,USR000156,Basic,299,2025-08-09,2025-12-07,Cancelled,True
SUB000193,USR000157,Standard,499,2025-03-09,2025-12-23,Cancelled,True
SUB000194,USR000158,Premium,799,2025-07-03,2026-01-01,Active,False
SUB000195,USR000159,Basic,299,2025-03-25,2026-01-01,Active,True
SUB000196,USR000160,Standard,499,2025-05-24,2026-01-01,Active,True
SUB000197,USR000161,Standard,499,2025-05-31,2026-01-01,Active,True
SUB000198,USR000162,Mobile,149,2025-04-24,2026-01-01,Active,True
SUB000199,USR000163,Mobile,149,2025-05-20,2026-01-01,Active,True
SUB000200,USR000164,Mobile,149,2025-05-23,2026-01-01,Active,True
SUB000201,USR000165,Basic,299,2025-06-14,2025-10-07,Expired,True
SUB000202,USR000165,Basic,299,2025-10-08,2026-01-01,Active,True
SUB000203,USR000166,Standard,499,2025-01-27,2025-07-18,Expired,False
SUB000204,USR000167,Standard,499,2025-02-28,2025-10-07,Expired,True
SUB000205,USR000168,Standard,499,2025-09-14,2026-01-01,Active,True
SUB000206,USR000169,Standard,499,2025-01-20,2025-08-16,Cancelled,True
SUB000207,USR000170,Standard,499,2025-03-10,2026-01-01,Active,True
SUB000208,USR000171,Standard,499,2025-04-21,2026-01-01,Active,True
SUB000209,USR000172,Mobile,149,2025-05-07,2025-10-02,Expired,True
SUB000210,USR000173,Mobile,149,2025-07-01,2026-01-01,Active,True
SUB000211,USR000174,Basic,299,2025-05-09,2026-01-01,Active,True
SUB000212,USR000175,Premium,799,2025-07-07,2026-01-01,Active,True
SUB000213,USR000176,Basic,299,2025-03-10,2025-10-12,Cancelled,True
SUB000214,USR000177,Basic,299,2025-01-12,2025-06-21,Expired,False
SUB000215,USR000178,Mobile,149,2025-06-21,2025-12-17,Cancelled,True
SUB000216,USR000179,Standard,499,2025-03-26,2026-01-01,Active,True
SUB000217,USR000180,Standard,499,2025-02-20,2026-01-01,Active,True
SUB000218,USR000181,Premium,799,2025-07-27,2026-01-01,Active,True
SUB000219,USR000182,Standard,499,2025-02-25,2026-01-01,Active,False
SUB000220,USR000183,Premium,799,2025-03-14,2026-01-01,Active,True
SUB000221,USR000184,Basic,299,2025-04-21,2026-01-01,Active,False
SUB000222,USR000185,Basic,299,2025-04-22,2025-11-27,Expired,True
SUB000223,USR000186,Standard,499,2025-03-16,2025-08-15,Cancelled,False
SUB000224,USR000186,Standard,499,2025-08-16,2025-12-31,Cancelled,False
SUB000225,USR000187,Mobile,149,2025-06-07,2026-01-01,Active,True
SUB000226,USR000188,Basic,299,2025-02-22,2026-01-01,Active,False
SUB000227,USR000189,Basic,299,2025-06-24,2026-01-01,Active,True
SUB000228,USR000190,Standard,499,2025-08-10,2026-01-01,Active,True
SUB000229,USR000191,Basic,299,2025-04-30,2026-01-01,Active,True
SUB000230,USR000192,Basic,299,2025-05-04,2026-01-01,Active,True
SUB000231,USR000193,Standard,499,2025-02-21,2025-06-28,Cancelled,True
SUB000232,USR000194,Basic,299,2025-09-22,2026-01-01,Active,True
SUB000233,USR000195,Standard,499,2025-02-20,2025-09-16,Expired,True
SUB000234,USR000196,Standard,499,2025-04-17,2025-09-13,Expired,False
SUB000235,USR000197,Basic,299,2025-07-16,2026-01-01,Active,False
SUB000236,USR000198,Basic,299,2025-03-03,2025-11-06,Expired,False
SUB000237,USR000199,Standard,499,2025-04-14,2026-01-01,Active,False
SUB000238,USR000200,Standard,499,2025-02-23,2025-09-20,Cancelled,True
SUB000239,USR000201,Basic,299,2025-05-29,2025-12-21,Cancelled,True
SUB000240,USR000202,Basic,299,2025-06-30,2026-01-01,Active,True
SUB000241,USR000203,Basic,299,2025-02-19,2025-10-02,Expired,True
SUB000242,USR000203,Mobile,149,2025-10-03,2026-01-01,Active,True
SUB000243,USR000204,Mobile,149,2025-01-23,2025-09-25,Expired,False
SUB000244,USR000205,Mobile,149,2025-01-07,2025-05-24,Expired,True
SUB000245,USR000206,Premium,799,2025-03-04,2025-08-24,Expired,True
SUB000246,USR000206,Standard,499,2025-08-25,2026-01-01,Active,False
SUB000247,USR000207,Standard,499,2025-04-14,2025-12-13,Expired,True
SUB000248,USR000208,Mobile,149,2025-07-25,2026-01-01,Active,False
SUB000249,USR000209,Basic,299,2025-04-30,2026-01-01,Active,True
SUB000250,USR000210,Basic,299,2025-04-13,2026-01-01,Active,True
SUB000251,USR000211,Standard,499,2025-06-08,2025-11-22,Cancelled,True
SUB000252,USR000212,Basic,299,2025-05-19,2026-01-01,Active,True
SUB000253,USR000213,Mobile,149,2025-03-26,2025-10-06,Cancelled,True
SUB000254,USR000213,Basic,299,2025-10-07,2026-01-01,Active,True
SUB000255,USR000214,Standard,499,2025-02-10,2025-05-16,Expired,True
SUB000256,USR000214,Standard,499,2025-05-17,2025-12-15,Cancelled,False
SUB000257,USR000215,Standard,499,2025-06-14,2026-01-01,Active,True
SUB000258,USR000216,Premium,799,2025-05-08,2026-01-01,Active,True
SUB000259,USR000217,Premium,799,2025-02-03,2025-12-15,Expired,True
SUB000260,USR000218,Mobile,149,2025-05-03,2025-11-14,Expired,True
SUB000261,USR000219,Basic,299,2025-03-10,2025-09-10,Expired,True
SUB000262,USR000220,Mobile,149,2025-07-16,2026-01-01,Active,False
SUB000263,USR000221,Mobile,149,2025-02-24,2026-01-01,Active,True
SUB000264,USR000222,Standard,499,2025-06-16,2025-09-30,Expired,True
SUB000265,USR000223,Premium,799,2025-08-03,2026-01-01,Active,True
SUB000266,USR000224,Standard,499,2025-03-21,2025-10-20,Cancelled,False
SUB000267,USR000225,Standard,499,2025-04-12,2025-11-05,Expired,True
SUB000268,USR000226,Basic,299,2025-05-10,2025-08-22,Expired,True
SUB000269,USR000227,Standard,499,2025-04-29,2025-07-29,Expired,True
SUB000270,USR000227,Standard,499,2025-07-30,2025-11-15,Expired,True
SUB000271,USR000228,Basic,299,2025-01-31,2025-07-11,Expired,True
SUB000272,USR000228,Basic,299,2025-07-12,2025-11-11,Expired,True
SUB000273,USR000229,Standard,499,2025-03-21,2025-11-01,Expired,True
SUB000274,USR000230,Basic,299,2025-06-26,2026-01-01,Active,True
SUB000275,USR000231,Basic,299,2025-04-01,2025-08-28,Cancelled,True
SUB000276,USR000231,Basic,299,2025-08-29,2026-01-01,Active,False
SUB000277,USR000232,Mobile,149,2025-07-30,2026-01-01,Active,False
SUB000278,USR000233,Premium,799,2025-06-20,2025-11-24,Expired,True
SUB000279,USR000234,Standard,499,2025-03-29,2026-01-01,Active,True
SUB000280,USR000235,Basic,299,2025-03-16,2026-01-01,Active,True
SUB000281,USR000236,Basic,299,2025-02-13,2026-01-01,Active,False
SUB000282,USR000237,Basic,299,2025-02-15,2025-06-23,Expired,True
SUB000283,USR000238,Standard,499,2025-03-31,2025-12-12,Expired,False
SUB000284,USR000238,Premium,799,2025-12-13,2026-01-01,Active,False
SUB000285,USR000239,Standard,499,2025-03-15,2026-01-01,Active,True
SUB000286,USR000240,Mobile,149,2025-04-04,2026-01-01,Active,True
SUB000287,USR000241,Standard,499,2025-06-15,2026-01-01,Active,False
SUB000288,USR000242,Standard,499,2025-04-28,2026-01-01,Active,True
SUB000289,USR000243,Basic,299,2025-06-08,2026-01-01,Active,True
SUB000290,USR000244,Basic,299,2025-04-07,2025-11-03,Cancelled,False
SUB000291,USR000245,Basic,299,2025-04-24,2026-01-01,Active,True
SUB000292,USR000246,Standard,499,2025-04-02,2025-09-30,Expired,True
SUB000293,USR000247,Mobile,149,2025-03-27,2025-07-05,Cancelled,True
SUB000294,USR000248,Standard,499,2025-08-08,2025-11-07,Cancelled,False
SUB000295,USR000248,Basic,299,2025-11-08,2026-01-01,Active,True
SUB000296,USR000249,Basic,299,2025-03-15,2026-01-01,Active,True
SUB000297,USR000250,Premium,799,2025-05-09,2025-09-10,Cancelled,False
SUB000298,USR000251,Basic,299,2025-03-04,2026-01-01,Active,True
SUB000299,USR000252,Standard,499,2025-08-04,2026-01-01,Active,True
SUB000300,USR000253,Standard,499,2025-02-20,2025-09-27,Expired,True
SUB000301,USR000254,Premium,799,2025-02-26,2025-12-16,Cancelled,True
SUB000302,USR000255,Basic,299,2025-06-22,2026-01-01,Active,False
SUB000303,USR000256,Mobile,149,2025-05-10,2026-01-01,Active,False
SUB000304,USR000257,Basic,299,2025-03-26,2025-10-23,Cancelled,True
SUB000305,USR000258,Mobile,149,2025-05-26,2025-09-18,Cancelled,False
SUB000306,USR000259,Premium,799,2025-04-08,2025-09-23,Cancelled,True
SUB000307,USR000260,Basic,299,2025-03-17,2026-01-01,Active,True
SUB000308,USR000261,Standard,499,2025-03-26,2026-01-01,Active,True
SUB000309,USR000262,Standard,499,2025-07-18,2026-01-01,Active,True
SUB000310,USR000263,Premium,799,2025-06-09,2026-01-01,Active,True
SUB000311,USR000264,Mobile,149,2025-05-13,2025-09-17,Cancelled,True
SUB000312,USR000265,Mobile,149,2025-04-19,2026-01-01,Active,True
SUB000313,USR000266,Mobile,149,2025-03-25,2026-01-01,Active,True
SUB000314,USR000267,Basic,299,2025-03-16,2025-09-23,Expired,True
SUB000315,USR000268,Standard,499,2025-06-17,2025-11-06,Expired,True
SUB000316,USR000269,Premium,799,2025-02-07,2025-10-20,Cancelled,True
SUB000317,USR000269,Premium,799,2025-10-21,2026-01-01,Active,True
SUB000318,USR000270,Standard,499,2025-01-28,2025-05-07,Expired,True
SUB000319,USR000271,Basic,299,2025-05-23,2025-10-16,Expired,False
SUB000320,USR000271,Basic,299,2025-10-17,2026-01-01,Active,False
SUB000321,USR000272,Mobile,149,2025-03-15,2025-08-18,Expired,True
SUB000322,USR000273,Standard,499,2025-07-02,2025-11-04,Cancelled,True
SUB000323,USR000274,Premium,799,2025-06-14,2026-01-01,Active,False
SUB000324,USR000275,Premium,799,2025-04-15,2026-01-01,Active,True
SUB000325,USR000276,Mobile,149,2025-06-14,2026-01-01,Active,True
SUB000326,USR000277,Mobile,149,2025-06-22,2026-01-01,Active,False
SUB000327,USR000278,Basic,299,2025-07-08,2026-01-01,Active,True
SUB000328,USR000279,Basic,299,2025-03-22,2026-01-01,Active,True
SUB000329,USR000280,Standard,499,2025-01-24,2025-09-28,Cancelled,False
SUB000330,USR000280,Premium,799,2025-09-29,2026-01-01,Active,True
SUB000331,USR000281,Premium,799,2025-01-06,2025-04-30,Cancelled,True
SUB000332,USR000282,Mobile,149,2025-06-21,2026-01-01,Active,True
SUB000333,USR000283,Premium,799,2025-04-11,2025-08-04,Cancelled,False
SUB000334,USR000284,Mobile,149,2025-02-19,2025-06-22,Expired,True
SUB000335,USR000285,Basic,299,2025-04-25,2025-09-27,Expired,False
SUB000336,USR000286,Standard,499,2025-04-13,2025-09-20,Cancelled,True
SUB000337,USR000287,Premium,799,2025-04-20,2025-11-09,Expired,False
SUB000338,USR000288,Standard,499,2025-03-28,2025-08-08,Expired,False
SUB000339,USR000289,Mobile,149,2025-05-31,2025-10-19,Expired,True
SUB000340,USR000290,Premium,799,2025-02-17,2025-07-15,Expired,True
SUB000341,USR000291,Basic,299,2025-04-02,2025-08-03,Expired,True
SUB000342,USR000292,Basic,299,2025-03-05,2025-06-09,Cancelled,True
SUB000343,USR000292,Standard,499,2025-06-10,2025-09-10,Cancelled,True
SUB000344,USR000293,Standard,499,2025-05-23,2026-01-01,Active,True
SUB000345,USR000294,Mobile,149,2025-03-04,2026-01-01,Active,True
SUB000346,USR000295,Premium,799,2025-02-07,2025-10-20,Expired,True
SUB000347,USR000295,Premium,799,2025-10-21,2026-01-01,Active,False
SUB000348,USR000296,Mobile,149,2025-05-06,2026-01-01,Active,True
SUB000349,USR000297,Standard,499,2025-05-01,2025-10-23,Expired,False
SUB000350,USR000298,Basic,299,2025-02-02,2025-08-31,Expired,True
SUB000351,USR000299,Mobile,149,2025-06-24,2026-01-01,Active,True
SUB000352,USR000300,Standard,499,2025-04-28,2026-01-01,Active,True
SUB000353,USR000301,Basic,299,2025-03-21,2025-07-23,Expired,True
SUB000354,USR000302,Basic,299,2025-01-16,2025-09-29,Expired,True
SUB000355,USR000303,Standard,499,2025-06-04,2026-01-01,Active,True
SUB000356,USR000304,Basic,299,2025-04-29,2026-01-01,Active,True
SUB000357,USR000305,Standard,499,2025-05-15,2026-01-01,Active,True
SUB000358,USR000306,Premium,799,2025-05-10,2026-01-01,Active,True
SUB000359,USR000307,Premium,799,2025-01-24,2026-01-01,Active,True
SUB000360,USR000308,Basic,299,2025-03-26,2025-10-10,Cancelled,False
SUB000361,USR000309,Mobile,149,2025-06-17,2026-01-01,Active,True
SUB000362,USR000310,Basic,299,2025-02-06,2025-09-11,Cancelled,False
SUB000363,USR000311,Premium,799,2025-04-07,2025-11-02,Expired,True
SUB000364,USR000312,Premium,799,2025-02-10,2025-08-25,Cancelled,True
SUB000365,USR000313,Basic,299,2025-05-29,2025-11-26,Cancelled,True
SUB000366,USR000314,Basic,299,2025-04-11,2026-01-01,Active,True
SUB000367,USR000315,Standard,499,2025-05-27,2026-01-01,Active,True
SUB000368,USR000316,Basic,299,2025-05-19,2026-01-01,Active,False
SUB000369,USR000317,Mobile,149,2025-07-31,2026-01-01,Active,True
SUB000370,USR000318,Basic,299,2025-07-30,2025-12-12,Expired,False
SUB000371,USR000318,Basic,299,2025-12-13,2026-01-01,Active,True
SUB000372,USR000319,Premium,799,2025-02-03,2026-01-01,Active,False
SUB000373,USR000320,Mobile,149,2025-05-11,2026-01-01,Active,False
SUB000374,USR000321,Mobile,149,2025-08-08,2026-01-01,Active,True
SUB000375,USR000322,Basic,299,2025-04-28,2025-09-09,Cancelled,True
