session_id,user_id,content_id,started_at,watch_minutes,session_status,discovery_source,video_quality,device_id,completion_pct
SES0000060,USR001137,CNT01481,2025-02-19 21:11:15,52,Abandoned,Search,1080p,DEV004558,54.7
SES0000061,USR007739,CNT00536,2025-02-27 08:26:14,54,Completed,Recommendation,4K,DEV003463,51.9
SES0000062,USR003388,CNT00788,2025-11-15 19:02:27,71,Completed,Auto,480p,DEV002991,79.8
SES0000063,USR005082,CNT01526,2025-01-13 11:07:38,23,Abandoned,Recommendation,720p,DEV008159,17.0
SES0000064,USR000977,CNT01481,2025-07-20 16:14:59,48,Stopped,Recommendation,1080p,DEV009810,50.5
SES0000065,USR005788,CNT00542,2025-03-21 21:52:28,34,Completed,Continue Watching,480p,DEV001359,45.9
SES0000066,USR006536,CNT00542,2025-12-06 11:45:54,65,Completed,Recommendation,480p,DEV008733,87.8
SES0000067,USR003393,CNT01694,2025-02-06 16:42:46,92,Abandoned,Recommendation,1080p,DEV001572,74.2
SES0000068,USR008571,CNT00536,2025-10-23 15:29:41,180,Completed,Continue Watching,1080p,DEV010689,100.0
SES0000069,USR004539,CNT00793,2025-09-12 10:03:25,73,Abandoned,Search,4K,DEV004954,52.1
SES0000070,USR007216,CNT00542,2025-06-02 11:07:39,13,Completed,Auto,1080p,DEV002332,17.6
SES0000071,USR006939,CNT00542,2025-10-08 17:32:53,37,Completed,Recommendation,720p,DEV006465,50.0
SES0000072,USR008121,CNT00542,2025-09-09 19:30:55,44,Completed,Continue Watching,1080p,DEV007689,59.5
SES0000073,USR006609,CNT00542,2025-03-10 09:34:46,49,Completed,Search,1080p,DEV000388,66.2
SES0000074,USR002806,CNT00124,2025-09-30 18:03:59,91,Stopped,Auto,4K,DEV012159,100.0
SES0000075,USR007645,CNT01694,2025-06-15 20:41:05,180,Completed,Continue Watching,720p,DEV012728,100.0
SES0000076,USR007557,CNT00536,2025-02-14 09:35:29,102,Abandoned,Recommendation,1080p,DEV003119,98.1
SES0000077,USR000038,CNT00542,2025-01-04 20:51:43,45,Completed,Recommendation,720p,DEV008363,60.8
SES0000078,USR008756,CNT00440,2025-04-19 15:04:26,63,Completed,Recommendation,720p,DEV010429,39.6
SES0000079,USR005196,CNT00536,2025-02-25 15:56:24,180,Completed,Continue Watching,4K,DEV008213,100.0
SES0000080,USR005940,CNT00279,2025-08-11 12:41:37,156,Completed,Recommendation,1080p,DEV001890,100.0
SES0000081,USR005440,CNT00423,2025-05-11 17:36:12,55,Abandoned,Trending,720p,DEV003087,36.4
SES0000082,USR003110,CNT00542,2025-11-25 20:17:41,27,Stopped,Continue Watching,1080p,DEV009490,36.5
SES0000083,USR009833,CNT01603,2025-03-06 19:05:03,49,Abandoned,Recommendation,1080p,DEV010410,31.4
SES0000084,USR002432,CNT00423,2025-06-12 08:21:54,117,Completed,Continue Watching,4K,DEV006264,77.5
SES0000085,USR008090,CNT00542,2025-05-07 19:58:21,61,Completed,Recommendation,480p,DEV000450,82.4
SES0000086,USR009922,CNT00542,2025-03-16 12:24:31,101,Stopped,Trending,4K,DEV000201,100.0
SES0000087,USR005572,CNT01694,2025-11-07 02:48:43,158,Completed,Search,1080p,DEV010484,100.0
SES0000088,USR002318,CNT00866,2025-10-08 22:10:16,120,Completed,Continue Watching,1080p,DEV002944,80.0
SES0000089,USR005456,CNT00423,2025-03-01 18:08:28,13,Completed,Search,720p,DEV003873,8.6
SES0000090,USR000756,CNT00542,2025-09-12 16:51:17,29,Stopped,Recommendation,4K,DEV002271,39.2
SES0000091,USR008650,CNT00423,2025-10-23 16:08:02,50,Completed,Search,720p,DEV011829,33.1
SES0000092,USR009541,CNT01491,2025-10-24 22:59:40,100,Completed,Trending,1080p,DEV004840,61.3
SES0000093,USR004090,CNT01481,2025-07-26 09:41:28,180,Completed,Continue Watching,1080p,DEV001661,100.0
SES0000094,USR003097,CNT00536,2025-11-06 13:56:52,39,Stopped,Trending,480p,DEV013656,37.5
SES0000095,USR000741,CNT01694,2025-08-29 07:59:48,135,Completed,Auto,720p,DEV003594,100.0
SES0000096,USR004932,CNT00542,2025-02-04 21:32:57,78,Stopped,Continue Watching,480p,DEV004303,100.0
SES0000097,USR009956,CNT00279,2025-05-18 18:18:11,38,Abandoned,Continue Watching,1080p,DEV006695,46.3
SES0000098,USR009322,CNT01694,2025-05-04 15:40:29,158,Completed,Trending,1080p,DEV009260,100.0
SES0000099,USR001514,CNT00763,2025-06-28 19:07:48,56,Completed,Continue Watching,720p,DEV006110,53.3
SES0000100,USR006146,CNT00598,2025-11-23 13:29:59,23,Completed,Recommendation,720p,DEV010109,27.1
SES0000101,USR001520,CNT00756,2025-12-28 09:42:04,110,Completed,Continue Watching,4K,DEV011945,94.0
SES0000102,USR006609,CNT00536,2025-04-04 14:12:28,24,Completed,Continue Watching,4K,DEV009554,23.1
SES0000103,USR003833,CNT01481,2025-10-05 07:54:21,92,Completed,Search,4K,DEV005256,96.8
SES0000104,USR001430,CNT00536,2025-12-26 19:56:25,165,Completed,Continue Watching,720p,DEV007887,100.0
SES0000105,USR006394,CNT00536,2025-08-05 22:51:19,149,Abandoned,Recommendation,4K,DEV009554,100.0
SES0000106,USR007890,CNT01846,2025-10-12 14:35:26,106,Stopped,Trending,4K,DEV004989,86.9
SES0000107,USR009521,CNT00542,2025-01-10 21:52:28,180,Completed,Recommendation,1080p,DEV011494,100.0
SES0000108,USR000783,CNT01694,2025-06-21 23:47:48,134,Stopped,Search,1080p,DEV002982,100.0
SES0000109,USR001288,CNT00542,2025-07-04 19:07:16,123,Completed,Continue Watching,1080p,DEV006929,100.0
SES0000110,USR008438,CNT01694,2025-11-17 13:52:14,49,Completed,Continue Watching,1080p,DEV000987,39.5
SES0000111,USR008990,CNT01698,2025-11-17 13:26:17,100,Completed,Search,4K,DEV008774,55.9
SES0000112,USR005414,CNT00423,2025-08-22 18:59:34,106,Stopped,Recommendation,1080p,DEV013770,70.2
SES0000113,USR000730,CNT01305,2025-03-28 19:36:56,117,Stopped,Search,720p,DEV011654,83.0
SES0000114,USR000978,CNT01305,2025-04-01 16:14:53,41,Abandoned,Trending,4K,DEV006842,29.1
SES0000115,USR005301,CNT01481,2025-07-16 08:24:05,146,Completed,Auto,720p,DEV009020,100.0
SES0000116,USR007698,CNT01694,2025-11-04 13:29:20,50,Completed,Recommendation,4K,DEV013994,40.3
SES0000117,USR004752,CNT01481,2025-03-06 12:57:58,74,Stopped,Recommendation,720p,DEV011810,77.9
SES0000118,USR003715,CNT00536,2025-01-05 16:38:00,31,Completed,Continue Watching,1080p,DEV007680,29.8
SES0000119,USR008974,CNT00536,2025-03-08 10:56:32,147,Stopped,Recommendation,1080p,DEV004765,100.0
SES0000120,USR002255,CNT01694,2025-11-02 23:32:40,37,Stopped,Auto,4K,DEV010889,29.8
SES0000121,USR002325,CNT01481,2025-08-12 10:30:44,45,Completed,Recommendation,720p,DEV006171,47.4
SES0000122,USR000240,CNT00536,2025-03-03 22:00:03,96,Completed,Recommendation,480p,DEV000230,92.3
SES0000123,USR009212,CNT00973,2025-06-10 18:55:09,27,Abandoned,Continue Watching,1080p,DEV012121,18.5
SES0000124,USR006867,CNT00423,2025-05-22 19:23:06,113,Completed,Recommendation,720p,DEV014292,74.8
SES0000125,USR008936,CNT00536,2025-12-31 21:59:33,144,Completed,Continue Watching,720p,DEV001856,100.0
SES0000126,USR002937,CNT01648,2025-02-16 14:35:59,106,Completed,Recommendation,720p,DEV009015,81.5
SES0000127,USR005057,CNT01526,2025-01-13 13:10:35,165,Completed,Recommendation,4K,DEV000873,100.0
SES0000128,USR002697,CNT00536,2025-02-08 15:07:55,53,Completed,Recommendation,720p,DEV007101,51.0
SES0000129,USR006664,CNT00536,2025-09-17 18:57:25,95,Completed,Recommendation,1080p,DEV002214,91.3
SES0000130,USR004394,CNT01305,2025-12-04 15:02:10,180,Abandoned,Search,1080p,DEV003622,100.0
SES0000131,USR004316,CNT01694,2025-05-04 10:48:20,180,Completed,Continue Watching,720p,DEV001491,100.0
SES0000132,USR008019,CNT01491,2025-09-14 15:58:15,52,Completed,Auto,720p,DEV007744,31.9
SES0000133,USR006532,CNT00440,2025-06-09 10:15:16,70,Completed,Continue Watching,720p,DEV000654,44.0
SES0000134,USR001592,CNT00536,2025-07-16 21:18:04,21,Completed,Auto,480p,DEV000573,20.2
SES0000135,USR004480,CNT01000,2025-10-06 14:54:55,147,Abandoned,Search,720p,DEV010364,100.0
SES0000136,USR001511,CNT00542,2025-10-20 13:49:07,89,Stopped,Auto,1080p,DEV000251,100.0
SES0000137,USR009159,CNT00536,2025-03-21 20:00:10,66,Completed,Continue Watching,1080p,DEV004615,63.5
SES0000138,USR008245,CNT01481,2025-03-24 13:11:02,26,Abandoned,Continue Watching,480p,DEV005315,27.4
SES0000139,USR009676,CNT00973,2025-09-05 21:04:14,73,Completed,Recommendation,1080p,DEV012543,50.0
SES0000140,USR008440,CNT01694,2025-01-30 17:36:08,74,Abandoned,Auto,1080p,DEV010599,59.7
SES0000141,USR009203,CNT00536,2025-12-29 00:04:26,104,Stopped,Search,4K,DEV008669,100.0
SES0000142,USR004029,CNT00536,2025-04-08 21:01:40,58,Abandoned,Recommendation,720p,DEV004224,55.8
SES0000143,USR009363,CNT00542,2025-10-06 12:56:36,77,Stopped,Auto,720p,DEV001685,100.0
SES0000144,USR003443,CNT01569,2025-03-15 09:59:08,71,Completed,Recommendation,4K,DEV006580,74.0
SES0000145,USR003434,CNT00536,2025-08-02 13:09:58,155,Stopped,Continue Watching,720p,DEV000946,100.0
SES0000146,USR004329,CNT00423,2025-01-25 16:33:55,180,Completed,Trending,1080p,DEV001483,100.0
SES0000147,USR004699,CNT00279,2025-12-22 19:39:59,74,Abandoned,Search,720p,DEV006419,90.2
SES0000148,USR000512,CNT00423,2025-03-03 12:12:29,57,Completed,Recommendation,720p,DEV005494,37.7
SES0000149,USR006991,CNT00536,2025-02-21 14:00:47,109,Stopped,Recommendation,720p,DEV004315,100.0
SES0000150,USR002867,CNT01926,2025-10-27 21:59:38,120,Abandoned,Recommendation,480p,DEV001412,67.0
SES0000151,USR003334,CNT00536,2025-08-28 20:46:39,46,Abandoned,Continue Watching,1080p,DEV007913,44.2
SES0000152,USR002952,CNT01481,2025-06-22 17:55:31,104,Completed,Trending,1080p,DEV002619,100.0
SES0000153,USR009436,CNT01694,2025-10-19 13:59:11,58,Abandoned,Trending,720p,DEV013781,46.8
SES0000154,USR006326,CNT00423,2025-05-05 13:59:26,84,Completed,Auto,720p,DEV007983,55.6
SES0000155,USR005589,CNT00536,2025-05-06 19:15:15,55,Abandoned,Search,720p,DEV003441,52.9
SES0000156,USR004171,CNT01102,2025-01-19 16:09:36,26,Completed,Trending,1080p,DEV013084,25.5
SES0000157,USR006414,CNT01694,2025-01-27 12:12:58,45,Completed,Continue Watching,1080p,DEV001080,36.3
SES0000158,USR003243,CNT00542,2025-11-13 17:14:42,71,Abandoned,Search,1080p,DEV005351,95.9
SES0000159,USR002618,CNT01305,2025-11-26 19:57:03,47,Completed,Auto,4K,DEV006163,33.3
SES0000160,USR006805,CNT00536,2025-03-20 06:57:53,121,Completed,Search,4K,DEV010205,100.0
SES0000161,USR006845,CNT01481,2025-07-26 13:00:09,70,Completed,Recommendation,720p,DEV002403,73.7
SES0000162,USR001347,CNT00536,2025-06-27 15:51:13,57,Completed,Search,720p,DEV000171,54.8
SES0000163,USR004177,CNT00922,2025-06-06 17:10:34,180,Stopped,Auto,1080p,DEV010838,100.0
SES0000164,USR005411,CNT00536,2025-03-03 19:44:20,80,Completed,Continue Watching,1080p,DEV001178,76.9
SES0000165,USR007965,CNT00542,2025-01-16 10:10:07,62,Stopped,Continue Watching,1080p,DEV009995,83.8
SES0000166,USR009090,CNT00607,2025-06-22 18:09:17,64,Completed,Auto,1080p,DEV011045,88.9
SES0000167,USR009945,CNT00536,2025-06-25 18:00:02,129,Stopped,Continue Watching,720p,DEV012023,100.0
SES0000168,USR005000,CNT00542,2025-11-22 19:24:53,58,Abandoned,Continue Watching,720p,DEV011550,78.4
SES0000169,USR000222,CNT01481,2025-12-18 18:08:08,15,Stopped,Continue Watching,4K,DEV011492,15.8
SES0000170,USR008830,CNT00536,2025-04-10 18:17:06,73,Completed,Recommendation,720p,DEV012043,70.2
SES0000171,USR001071,CNT01694,2025-05-26 10:30:19,61,Stopped,Search,1080p,DEV006166,49.2
SES0000172,USR001469,CNT00507,2025-06-05 18:47:33,105,Completed,Recommendation,720p,DEV012942,100.0
SES0000173,USR006419,CNT00763,2025-04-30 14:25:02,116,Stopped,Continue Watching,1080p,DEV009964,100.0
SES0000174,USR003883,CNT00536,2025-03-24 22:01:25,180,Stopped,Continue Watching,720p,DEV012002,100.0
SES0000175,USR001092,CNT00542,2025-04-07 08:17:51,53,Completed,Trending,720p,DEV006820,71.6
SES0000176,USR002825,CNT01694,2025-04-22 19:54:37,46,Completed,Continue Watching,480p,DEV006834,37.1
SES0000177,USR001643,CNT00428,2025-08-20 10:43:32,39,Stopped,Continue Watching,720p,DEV005256,21.9
SES0000178,USR002174,CNT01694,2025-11-23 15:32:47,61,Completed,Trending,4K,DEV003289,49.2
SES0000179,USR007682,CNT00536,2025-01-04 08:10:16,51,Completed,Continue Watching,4K,DEV006711,49.0
SES0000180,USR000635,CNT01694,2025-11-23 16:29:44,107,Completed,Continue Watching,1080p,DEV013838,86.3
SES0000181,USR006702,CNT01305,2025-12-23 07:27:38,91,Completed,Recommendation,720p,DEV013256,64.5
SES0000182,USR009838,CNT01694,2025-07-06 20:01:40,113,Stopped,Auto,720p,DEV002908,91.1
SES0000183,USR000255,CNT00152,2025-10-09 18:55:10,35,Completed,Continue Watching,480p,DEV011773,35.7
SES0000184,USR005172,CNT01481,2025-07-16 12:37:00,34,Completed,Continue Watching,1080p,DEV001389,35.8
SES0000185,USR003290,CNT01694,2025-03-09 20:55:47,101,Abandoned,Trending,720p,DEV008124,81.5
SES0000186,USR003793,CNT00973,2025-03-23 18:11:29,98,Stopped,Continue Watching,4K,DEV008035,67.1
SES0000187,USR009371,CNT00423,2025-07-10 12:25:37,124,Completed,Continue Watching,1080p,DEV014423,82.1
SES0000188,USR006718,CNT00423,2025-04-27 13:45:38,77,Stopped,Continue Watching,720p,DEV003836,51.0
SES0000189,USR006567,CNT01305,2025-10-12 16:37:01,102,Stopped,Continue Watching,1080p,DEV004815,72.3
SES0000190,USR008601,CNT01694,2025-02-27 21:52:50,31,Completed,Search,720p,DEV004948,25.0
SES0000191,USR004540,CNT01304,2025-05-27 14:52:17,41,Completed,Trending,1080p,DEV007140,41.8
SES0000192,USR004113,CNT00536,2025-06-05 17:57:20,155,Completed,Search,480p,DEV001671,100.0
SES0000193,USR000687,CNT00536,2025-01-26 18:02:43,60,Completed,Continue Watching,720p,DEV006048,57.7
SES0000194,USR006649,CNT00536,2025-01-05 09:35:11,99,Completed,Search,720p,DEV001352,95.2
SES0000195,USR009742,CNT00542,2025-08-14 17:01:53,68,Completed,Search,720p,DEV013745,91.9
SES0000196,USR002590,CNT00009,2025-12-05 07:40:58,62,Abandoned,Trending,1080p,DEV005267,75.6
SES0000197,USR005941,CNT00536,2025-09-20 17:10:49,58,Completed,Recommendation,1080p,DEV008333,55.8
SES0000198,USR008568,CNT00542,2025-12-10 11:49:27,85,Completed,Auto,4K,DEV012249,100.0
SES0000199,USR008086,CNT00423,2025-09-22 09:46:55,60,Completed,Recommendation,720p,DEV007026,39.7
SES0000200,USR002843,CNT00536,2025-07-28 20:39:08,110,Completed,Search,4K,DEV004429,100.0
SES0000201,USR000517,CNT01305,2025-12-09 09:29:35,77,Abandoned,Search,1080p,DEV008620,54.6
SES0000202,USR001628,CNT00536,2025-07-14 10:10:52,70,Completed,Trending,1080p,DEV003118,67.3
SES0000203,USR001904,CNT00423,2025-10-03 18:43:39,92,Completed,Recommendation,1080p,DEV000993,60.9
SES0000204,USR001244,CNT00536,2025-07-09 12:31:10,154,Completed,Auto,4K,DEV003705,100.0
SES0000205,USR007127,CNT00542,2025-09-03 05:55:47,147,Completed,Search,4K,DEV005083,100.0
SES0000206,USR001630,CNT00279,2025-05-01 11:57:21,151,Completed,Continue Watching,720p,DEV004171,100.0
SES0000207,USR005931,CNT00152,2025-04-05 13:13:36,74,Abandoned,Search,1080p,DEV007568,75.5
SES0000208,USR008147,CNT00536,2025-03-24 06:33:12,106,Completed,Continue Watching,1080p,DEV011690,100.0
SES0000209,USR006124,CNT00536,2025-01-29 13:44:57,67,Completed,Continue Watching,4K,DEV006382,64.4
SES0000210,USR008369,CNT01305,2025-11-27 20:31:18,94,Completed,Recommendation,1080p,DEV012254,66.7
SES0000211,USR009668,CNT01305,2025-05-16 16:20:14,85,Completed,Search,1080p,DEV006237,60.3
SES0000212,USR000846,CNT01694,2025-11-19 13:28:17,63,Completed,Recommendation,4K,DEV013646,50.8
SES0000213,USR000816,CNT01481,2025-09-04 20:03:04,67,Completed,Search,4K,DEV002217,70.5
SES0000214,USR008227,CNT00536,2025-04-18 20:47:11,37,Completed,Recommendation,4K,DEV001672,35.6
SES0000215,USR009916,CNT01305,2025-02-22 15:24:34,90,Completed,Auto,4K,DEV010888,63.8
SES0000216,USR008468,CNT00542,2025-03-29 17:17:48,88,Abandoned,Search,1080p,DEV006961,100.0
SES0000217,USR002220,CNT00542,2025-08-23 19:39:02,86,Abandoned,Search,1080p,DEV007804,100.0
SES0000218,USR003305,CNT00536,2025-10-28 14:58:59,61,Completed,Recommendation,1080p,DEV000613,58.7
SES0000219,USR007850,CNT01341,2025-11-27 16:54:58,50,Completed,Recommendation,1080p,DEV009793,28.1
SES0000220,USR007885,CNT00542,2025-08-25 17:34:22,67,Completed,Continue Watching,720p,DEV014406,90.5
SES0000221,USR001161,CNT01491,2025-01-28 18:26:18,82,Completed,Trending,720p,DEV001323,50.3
SES0000222,USR004741,CNT01694,2025-04-09 20:12:09,41,Stopped,Continue Watching,720p,DEV000577,33.1
SES0000223,USR006257,CNT00542,2025-07-15 10:41:00,75,Stopped,Recommendation,720p,DEV014553,100.0
SES0000224,USR009618,CNT00423,2025-03-14 12:26:50,149,Completed,Continue Watching,720p,DEV001081,98.7
SES0000225,USR006225,CNT00599,2025-03-25 12:59:21,127,Completed,Recommendation,720p,DEV007630,100.0
SES0000226,USR009592,CNT00542,2025-04-26 15:39:14,31,Completed,Continue Watching,1080p,DEV005187,41.9
SES0000227,USR006397,CNT00536,2025-01-28 18:07:09,70,Completed,Continue Watching,480p,DEV003957,67.3
SES0000228,USR004346,CNT00536,2025-12-20 09:16:33,74,Completed,Auto,4K,DEV009178,71.2
SES0000229,USR001956,CNT01110,2025-01-05 13:15:48,84,Abandoned,Continue Watching,720p,DEV008026,88.4
SES0000230,USR004946,CNT00536,2025-11-01 12:49:34,149,Completed,Trending,480p,DEV001704,100.0
SES0000231,USR008348,CNT01481,2025-09-06 19:56:59,167,Completed,Auto,4K,DEV012107,100.0
SES0000232,USR005390,CNT01185,2025-11-13 17:11:28,162,Completed,Recommendation,4K,DEV013721,100.0
SES0000233,USR000302,CNT00536,2025-09-13 07:38:03,48,Stopped,Search,4K,DEV002057,46.2
SES0000234,USR002236,CNT00973,2025-08-02 16:24:40,115,Completed,Recommendation,720p,DEV005360,78.8
SES0000235,USR002379,CNT00542,2025-08-29 16:20:49,46,Completed,Continue Watching,720p,DEV009561,62.2
SES0000236,USR007027,CNT00542,2025-04-21 08:53:49,134,Completed,Trending,720p,DEV000934,100.0
SES0000237,USR008390,CNT01694,2025-07-16 17:19:21,156,Completed,Trending,720p,DEV009598,100.0
SES0000238,USR007907,CNT01481,2025-11-26 16:28:15,120,Completed,Recommendation,480p,DEV007634,100.0
SES0000239,USR004960,CNT00536,2025-12-07 22:16:42,118,Completed,Continue Watching,4K,DEV010946,100.0
SES0000240,USR000137,CNT00542,2025-02-21 06:35:47,88,Completed,Auto,1080p,DEV014276,100.0
SES0000241,USR002165,CNT00536,2025-03-23 10:21:17,75,Stopped,Continue Watching,720p,DEV006843,72.1
SES0000242,USR005410,CNT00536,2025-04-12 19:07:13,86,Abandoned,Recommendation,720p,DEV001820,82.7
SES0000243,USR004999,CNT01694,2025-07-30 13:53:56,31,Completed,Recommendation,1080p,DEV009552,25.0
SES0000244,USR006896,CNT00542,2025-11-20 10:08:14,61,Abandoned,Recommendation,1080p,DEV008865,82.4
SES0000245,USR009257,CNT00536,2025-10-09 16:27:24,78,Completed,Auto,1080p,DEV013615,75.0
SES0000246,USR009465,CNT00152,2025-09-07 22:59:58,76,Abandoned,Trending,4K,DEV010811,77.6
SES0000247,USR003519,CNT00542,2025-03-01 18:04:26,53,Completed,Search,1080p,DEV002913,71.6
SES0000248,USR008145,CNT01305,2025-04-05 22:11:53,84,Abandoned,Trending,720p,DEV010542,59.6
SES0000249,USR000511,CNT01843,2025-01-01 15:23:11,38,Abandoned,Auto,720p,DEV012085,42.2
SES0000250,USR005280,CNT01305,2025-03-27 13:14:02,58,Completed,Continue Watching,1080p,DEV005722,41.1
SES0000251,USR001531,CNT00536,2025-07-27 18:42:49,30,Completed,Continue Watching,1080p,DEV003847,28.8
