device_id,user_id,device_type,operating_system,registered_date
DEV000085,USR000059,Laptop,Android,2025-06-06
DEV000086,USR000060,Laptop,Windows,2025-03-20
DEV000087,USR000060,Tablet,Smart TV OS,2025-10-17
DEV000088,USR000061,Laptop,Windows,2025-06-11
DEV000089,USR000062,Laptop,Windows,2025-03-28
DEV000090,USR000062,Laptop,Smart TV OS,2025-01-03
DEV000091,USR000062,Laptop,iOS,2025-06-10
DEV000092,USR000063,Laptop,Android,2025-04-24
DEV000093,USR000064,Mobile,iOS,2025-11-25
DEV000094,USR000064,Mobile,Windows,2025-08-12
DEV000095,USR000065,Smart TV,Smart TV OS,2025-07-04
DEV000096,USR000066,Smart TV,Windows,2025-06-19
DEV000097,USR000067,Mobile,Android,2025-08-25
DEV000098,USR000067,Mobile,iOS,2025-08-17
DEV000099,USR000068,Tablet,Windows,2025-06-06
DEV000100,USR000069,Tablet,Android,2025-02-25
DEV000101,USR000070,Tablet,iOS,2025-11-07
DEV000102,USR000071,Smart TV,Android,2025-05-24
DEV000103,USR000072,Mobile,iOS,2025-03-13
DEV000104,USR000072,Smart TV,Windows,2025-10-03
DEV000105,USR000073,Smart TV,iOS,2025-11-17
DEV000106,USR000074,Mobile,macOS,2025-02-08
DEV000107,USR000075,Smart TV,Windows,2025-09-17
DEV000108,USR000075,Smart TV,Windows,2025-11-20
DEV000109,USR000076,Mobile,Smart TV OS,2025-10-25
DEV000110,USR000077,Streaming Stick,iOS,2025-10-30
DEV000111,USR000078,Tablet,Android,2025-01-19
DEV000112,USR000079,Tablet,iOS,2025-10-06
DEV000113,USR000080,Smart TV,Android,2025-10-04
DEV000114,USR000080,Mobile,Windows,2025-08-30
DEV000115,USR000081,Tablet,Windows,2025-03-18
DEV000116,USR000081,Mobile,iOS,2025-07-07
DEV000117,USR000082,Laptop,Windows,2025-10-29
DEV000118,USR000083,Smart TV,iOS,2025-05-29
DEV000119,USR000083,Mobile,macOS,2025-03-10
DEV000120,USR000084,Mobile,Smart TV OS,2025-09-19
DEV000121,USR000085,Laptop,macOS,2025-07-06
DEV000122,USR000086,Laptop,Smart TV OS,2025-05-03
DEV000123,USR000087,Mobile,Android,2025-11-11
DEV000124,USR000087,Smart TV,iOS,2025-03-26
DEV000125,USR000088,Mobile,iOS,2025-03-13
DEV000126,USR000088,Mobile,iOS,2025-08-17
DEV000127,USR000089,Smart TV,macOS,2025-10-17
DEV000128,USR000090,Streaming Stick,Windows,2025-03-16
DEV000129,USR000090,Mobile,Android,2025-09-05
DEV000130,USR000090,Streaming Stick,iOS,2025-07-03
DEV000131,USR000091,Tablet,Android,2025-09-07
DEV000132,USR000092,Streaming Stick,Windows,2025-05-16
DEV000133,USR000093,Mobile,macOS,2025-01-22
DEV000134,USR000094,Mobile,Android,2025-09-23
DEV000135,USR000094,Tablet,Smart TV OS,2025-07-04
DEV000136,USR000095,Smart TV,Android,2025-08-21
DEV000137,USR000096,Streaming Stick,Smart TV OS,2025-01-21
DEV000138,USR000096,Laptop,iOS,2025-06-15
DEV000139,USR000097,Mobile,iOS,2025-09-24
DEV000140,USR000098,Gaming Console,Windows,2025-05-21
DEV000141,USR000098,Gaming Console,Smart TV OS,2025-05-15
DEV000142,USR000099,Laptop,Android,2025-10-19
DEV000143,USR000100,Mobile,Windows,2025-07-13
DEV000144,USR000101,Mobile,iOS,2025-02-09
DEV000145,USR000102,Mobile,Android,2025-07-12
DEV000146,USR000103,Mobile,Smart TV OS,2025-04-25
DEV000147,USR000103,Smart TV,iOS,2025-09-22
DEV000148,USR000103,Gaming Console,iOS,2025-07-27
DEV000149,USR000104,Tablet,Android,2025-06-26
DEV000150,USR000105,Mobile,Windows,2025-09-04
DEV000151,USR000106,Smart TV,iOS,2025-01-04
DEV000152,USR000106,Mobile,Smart TV OS,2025-09-14
DEV000153,USR000107,Laptop,Smart TV OS,2025-08-14
DEV000154,USR000107,Gaming Console,iOS,2025-03-26
DEV000155,USR000108,Mobile,Windows,2025-09-21
DEV000156,USR000109,Streaming Stick,Android,2025-04-19
DEV000157,USR000109,Smart TV,macOS,2025-03-18
DEV000158,USR000110,Mobile,macOS,2025-07-05
DEV000159,USR000111,Laptop,macOS,2025-03-02
DEV000160,USR000111,Mobile,Android,2025-04-28
DEV000161,USR000112,Laptop,iOS,2025-06-19
DEV000162,USR000113,Gaming Console,Android,2025-09-04
DEV000163,USR000113,Laptop,iOS,2025-09-03
DEV000164,USR000114,Mobile,Android,2025-10-30
DEV000165,USR000115,Streaming Stick,Smart TV OS,2025-07-30
DEV000166,USR000116,Mobile,Android,2025-01-23
DEV000167,USR000117,Laptop,Android,2025-10-31
DEV000168,USR000118,Smart TV,macOS,2025-11-19
DEV000169,USR000119,Smart TV,Smart TV OS,2025-10-21
DEV000170,USR000120,Laptop,Android,2025-03-27
DEV000171,USR000121,Smart TV,Smart TV OS,2025-04-03
DEV000172,USR000122,Laptop,iOS,2025-07-27
DEV000173,USR000123,Gaming Console,Android,2025-10-16
DEV000174,USR000124,Mobile,macOS,2025-05-26
DEV000175,USR000124,Gaming Console,macOS,2025-02-13
DEV000176,USR000125,Laptop,Android,2025-11-07
DEV000177,USR000126,Mobile,Windows,2025-09-04
DEV000178,USR000126,Tablet,Windows,2025-03-29
DEV000179,USR000126,Tablet,Windows,2025-04-23
DEV000180,USR000127,Smart TV,macOS,2025-11-04
DEV000181,USR000127,Laptop,iOS,2025-03-15
DEV000182,USR000128,Tablet,Smart TV OS,2025-04-04
DEV000183,USR000128,Laptop,iOS,2025-11-16
DEV000184,USR000129,Mobile,Android,2025-05-16
DEV000185,USR000129,Tablet,Windows,2025-03-27
DEV000186,USR000130,Laptop,Android,2025-06-25
DEV000187,USR000130,Mobile,Smart TV OS,2025-08-21
DEV000188,USR000131,Mobile,Windows,2025-02-05
DEV000189,USR000132,Streaming Stick,Smart TV OS,2025-07-17
DEV000190,USR000133,Smart TV,Smart TV OS,2025-01-09
DEV000191,USR000134,Laptop,iOS,2025-09-16
DEV000192,USR000135,Tablet,iOS,2025-03-18
DEV000193,USR000135,Mobile,Windows,2025-11-07
DEV000194,USR000136,Tablet,iOS,2025-09-01
DEV000195,USR000137,Smart TV,Windows,2025-11-04
DEV000196,USR000137,Gaming Console,Android,2025-01-20
DEV000197,USR000138,Smart TV,iOS,2025-09-30
DEV000198,USR000138,Mobile,iOS,2025-09-15
DEV000199,USR000139,Mobile,Smart TV OS,2025-02-17
DEV000200,USR000139,Smart TV,Android,2025-09-04
DEV000201,USR000140,Smart TV,Android,2025-11-05
DEV000202,USR000140,Tablet,iOS,2025-10-04
DEV000203,USR000141,Tablet,Windows,2025-08-09
DEV000204,USR000141,Mobile,Android,2025-09-25
DEV000205,USR000142,Smart TV,Windows,2025-01-23
DEV000206,USR000143,Smart TV,iOS,2025-08-08
DEV000207,USR000143,Gaming Console,Android,2025-04-28
DEV000208,USR000144,Laptop,Android,2025-09-04
DEV000209,USR000144,Smart TV,Windows,2025-07-15
DEV000210,USR000144,Smart TV,iOS,2025-06-29
DEV000211,USR000145,Mobile,iOS,2025-10-22
DEV000212,USR000146,Mobile,Android,2025-03-10
DEV000213,USR000147,Tablet,Android,2025-04-30
DEV000214,USR000148,Tablet,macOS,2025-02-12
DEV000215,USR000148,Streaming Stick,Android,2025-05-26
DEV000216,USR000149,Streaming Stick,iOS,2025-10-06
DEV000217,USR000150,Laptop,Smart TV OS,2025-04-07
DEV000218,USR000151,Smart TV,Android,2025-01-04
DEV000219,USR000152,Smart TV,Windows,2025-03-02
DEV000220,USR000153,Tablet,macOS,2025-07-12
DEV000221,USR000154,Streaming Stick,Windows,2025-06-11
DEV000222,USR000154,Mobile,Android,2025-07-29
DEV000223,USR000155,Tablet,iOS,2025-03-21
DEV000224,USR000156,Smart TV,Android,2025-10-27
DEV000225,USR000157,Streaming Stick,Windows,2025-10-02
DEV000226,USR000158,Laptop,Android,2025-07-07
DEV000227,USR000159,Mobile,Android,2025-07-23
DEV000228,USR000159,Mobile,Android,2025-04-15
DEV000229,USR000160,Smart TV,macOS,2025-10-13
DEV000230,USR000161,Laptop,macOS,2025-07-09
DEV000231,USR000162,Tablet,iOS,2025-09-05
DEV000232,USR000163,Laptop,macOS,2025-06-07
DEV000233,USR000164,Smart TV,Windows,2025-07-23
DEV000234,USR000165,Streaming Stick,Windows,2025-03-02
DEV000235,USR000165,Mobile,Windows,2025-04-28
DEV000236,USR000166,Laptop,macOS,2025-03-24
DEV000237,USR000167,Smart TV,Android,2025-09-18
DEV000238,USR000168,Mobile,Windows,2025-06-23
DEV000239,USR000169,Smart TV,Android,2025-11-11
DEV000240,USR000169,Smart TV,macOS,2025-01-27
DEV000241,USR000170,Laptop,Windows,2025-11-22
DEV000242,USR000171,Mobile,iOS,2025-02-16
DEV000243,USR000172,Mobile,macOS,2025-08-30
DEV000244,USR000172,Laptop,macOS,2025-11-04
DEV000245,USR000173,Smart TV,iOS,2025-02-02
DEV000246,USR000174,Laptop,iOS,2025-07-09
DEV000247,USR000175,Mobile,Smart TV OS,2025-01-20
DEV000248,USR000176,Smart TV,macOS,2025-07-25
DEV000249,USR000176,Laptop,iOS,2025-11-11
DEV000250,USR000177,Mobile,Windows,2025-05-27
DEV000251,USR000177,Tablet,macOS,2025-11-02
DEV000252,USR000178,Laptop,Android,2025-03-31
DEV000253,USR000179,Mobile,iOS,2025-08-13
DEV000254,USR000179,Mobile,Windows,2025-01-06
DEV000255,USR000180,Laptop,iOS,2025-09-23
DEV000256,USR000181,Mobile,Android,2025-01-18
DEV000257,USR000182,Streaming Stick,Smart TV OS,2025-09-19
DEV000258,USR000182,Mobile,iOS,2025-09-22
DEV000259,USR000183,Mobile,Android,2025-11-11
DEV000260,USR000183,Mobile,iOS,2025-03-28
DEV000261,USR000184,Smart TV,Android,2025-07-04
DEV000262,USR000184,Smart TV,Android,2025-05-03
DEV000263,USR000185,Smart TV,Android,2025-03-22
DEV000264,USR000185,Smart TV,Smart TV OS,2025-02-14
DEV000265,USR000186,Smart TV,Smart TV OS,2025-07-24
DEV000266,USR000186,Smart TV,iOS,2025-06-30
DEV000267,USR000186,Gaming Console,iOS,2025-07-22
DEV000268,USR000187,Laptop,iOS,2025-04-13
DEV000269,USR000188,Gaming Console,Android,2025-02-05
DEV000270,USR000189,Smart TV,iOS,2025-10-09
DEV000271,USR000189,Tablet,Windows,2025-05-26
DEV000272,USR000190,Streaming Stick,Smart TV OS,2025-10-14
DEV000273,USR000190,Gaming Console,Android,2025-10-26
DEV000274,USR000191,Mobile,iOS,2025-05-22
DEV000275,USR000192,Smart TV,Smart TV OS,2025-04-10
DEV000276,USR000193,Mobile,Windows,2025-07-26
DEV000277,USR000194,Laptop,Android,2025-05-14
DEV000278,USR000195,Mobile,Android,2025-09-17
DEV000279,USR000196,Mobile,Windows,2025-02-07
DEV000280,USR000197,Mobile,iOS,2025-06-24
DEV000281,USR000198,Mobile,macOS,2025-09-20
DEV000282,USR000198,Mobile,iOS,2025-05-12
DEV000283,USR000198,Mobile,Smart TV OS,2025-10-03
DEV000284,USR000199,Mobile,iOS,2025-10-22
DEV000285,USR000199,Smart TV,Windows,2025-05-09
DEV000286,USR000200,Smart TV,Windows,2025-07-13
DEV000287,USR000200,Mobile,macOS,2025-10-16
DEV000288,USR000201,Tablet,macOS,2025-05-05
DEV000289,USR000202,Mobile,iOS,2025-08-23
DEV000290,USR000202,Mobile,iOS,2025-08-24
DEV000291,USR000203,Laptop,iOS,2025-01-15
DEV000292,USR000203,Laptop,Smart TV OS,2025-09-04
DEV000293,USR000204,Smart TV,Android,2025-02-04
DEV000294,USR000205,Laptop,Windows,2025-04-23
DEV000295,USR000206,Mobile,macOS,2025-04-28
DEV000296,USR000206,Laptop,Smart TV OS,2025-06-11
DEV000297,USR000207,Tablet,Android,2025-06-30
DEV000298,USR000208,Mobile,iOS,2025-01-05
DEV000299,USR000209,Tablet,Android,2025-05-15
DEV000300,USR000209,Smart TV,Android,2025-05-08
DEV000301,USR000210,Mobile,iOS,2025-07-24
DEV000302,USR000211,Smart TV,Smart TV OS,2025-06-25
DEV000303,USR000211,Smart TV,iOS,2025-02-08
DEV000304,USR000212,Mobile,Windows,2025-04-02
DEV000305,USR000213,Tablet,Android,2025-07-01
DEV000306,USR000214,Smart TV,macOS,2025-10-21
DEV000307,USR000215,Mobile,Windows,2025-04-08
DEV000308,USR000216,Mobile,Android,2025-04-13
DEV000309,USR000217,Smart TV,macOS,2025-05-04
DEV000310,USR000218,Mobile,Windows,2025-04-16
DEV000311,USR000218,Smart TV,Windows,2025-04-28
DEV000312,USR000219,Laptop,Windows,2025-05-08
DEV000313,USR000220,Smart TV,Android,2025-07-02
DEV000314,USR000220,Streaming Stick,Android,2025-03-21
DEV000315,USR000221,Laptop,Android,2025-03-03
DEV000316,USR000221,Mobile,iOS,2025-02-10
DEV000317,USR000222,Tablet,macOS,2025-09-10
DEV000318,USR000222,Tablet,Smart TV OS,2025-11-11
DEV000319,USR000223,Mobile,Android,2025-10-05
DEV000320,USR000224,Laptop,Android,2025-09-04
DEV000321,USR000224,Gaming Console,macOS,2025-07-10
DEV000322,USR000224,Mobile,macOS,2025-11-14
DEV000323,USR000225,Streaming Stick,Android,2025-10-22
DEV000324,USR000226,Laptop,Android,2025-09-09
DEV000325,USR000226,Mobile,Android,2025-04-04
DEV000326,USR000227,Mobile,iOS,2025-09-19
DEV000327,USR000227,Mobile,Android,2025-05-24
DEV000328,USR000227,Tablet,iOS,2025-07-23
DEV000329,USR000228,Laptop,Smart TV OS,2025-10-23
DEV000330,USR000229,Smart TV,Windows,2025-09-27
DEV000331,USR000230,Tablet,Smart TV OS,2025-09-02
DEV000332,USR000230,Smart TV,Android,2025-10-04
DEV000333,USR000231,Smart TV,Android,2025-06-27
DEV000334,USR000232,Streaming Stick,Windows,2025-03-31
DEV000335,USR000233,Streaming Stick,iOS,2025-03-03
DEV000336,USR000234,Streaming Stick,Windows,2025-08-24
DEV000337,USR000234,Tablet,Windows,2025-06-11
DEV000338,USR000235,Mobile,Windows,2025-01-07
DEV000339,USR000235,Laptop,Windows,2025-04-18
DEV000340,USR000236,Mobile,Android,2025-02-21
DEV000341,USR000237,Mobile,Smart TV OS,2025-11-10
DEV000342,USR000238,Streaming Stick,Smart TV OS,2025-04-06
DEV000343,USR000238,Laptop,iOS,2025-10-08
DEV000344,USR000239,Smart TV,iOS,2025-05-18
DEV000345,USR000240,Tablet,Android,2025-11-10
DEV000346,USR000241,Tablet,Android,2025-04-05
DEV000347,USR000242,Mobile,Android,2025-04-18
DEV000348,USR000243,Smart TV,Smart TV OS,2025-07-10
DEV000349,USR000244,Laptop,Android,2025-07-25
DEV000350,USR000245,Mobile,iOS,2025-04-03
DEV000351,USR000246,Laptop,Windows,2025-10-22
DEV000352,USR000247,Laptop,iOS,2025-02-21
DEV000353,USR000247,Smart TV,iOS,2025-05-19
DEV000354,USR000248,Laptop,Smart TV OS,2025-10-12
DEV000355,USR000248,Laptop,iOS,2025-08-10
DEV000356,USR000249,Gaming Console,Smart TV OS,2025-04-11
DEV000357,USR000249,Streaming Stick,Android,2025-03-16
DEV000358,USR000250,Gaming Console,Android,2025-03-18
DEV000359,USR000250,Smart TV,Android,2025-08-31
DEV000360,USR000251,Laptop,iOS,2025-04-01
DEV000361,USR000251,Smart TV,macOS,2025-08-04
DEV000362,USR000252,Smart TV,Android,2025-11-19
DEV000363,USR000253,Tablet,Windows,2025-06-11
DEV000364,USR000254,Laptop,Smart TV OS,2025-06-03
DEV000365,USR000254,Gaming Console,iOS,2025-05-09
DEV000366,USR000255,Mobile,Android,2025-10-18
DEV000367,USR000256,Mobile,Android,2025-02-20
DEV000368,USR000257,Laptop,iOS,2025-01-31
DEV000369,USR000257,Smart TV,Windows,2025-04-21
DEV000370,USR000258,Smart TV,Android,2025-09-01
DEV000371,USR000258,Smart TV,macOS,2025-11-19
DEV000372,USR000259,Smart TV,macOS,2025-06-21
DEV000373,USR000260,Smart TV,Windows,2025-07-04
DEV000374,USR000261,Smart TV,iOS,2025-05-12
DEV000375,USR000262,Mobile,macOS,2025-07-30
DEV000376,USR000263,Tablet,Smart TV OS,2025-11-07
DEV000377,USR000264,Smart TV,Smart TV OS,2025-10-22
DEV000378,USR000265,Smart TV,macOS,2025-10-03
DEV000379,USR000265,Tablet,Android,2025-03-31
DEV000380,USR000266,Smart TV,Android,2025-05-26
DEV000381,USR000266,Smart TV,Smart TV OS,2025-07-01
DEV000382,USR000266,Mobile,Android,2025-06-16
DEV000383,USR000267,Mobile,Android,2025-09-07
DEV000384,USR000267,Gaming Console,Windows,2025-08-17
DEV000385,USR000268,Mobile,Android,2025-07-15
DEV000386,USR000268,Smart TV,macOS,2025-11-11
DEV000387,USR000269,Streaming Stick,macOS,2025-11-20
DEV000388,USR000270,Laptop,Windows,2025-03-27
DEV000389,USR000270,Mobile,Android,2025-11-24
DEV000390,USR000270,Smart TV,macOS,2025-06-22
DEV000391,USR000271,Tablet,Android,2025-11-10
DEV000392,USR000272,Mobile,Android,2025-02-06
DEV000393,USR000273,Tablet,Android,2025-06-25
DEV000394,USR000274,Mobile,Windows,2025-06-12
DEV000395,USR000275,Mobile,Windows,2025-05-17
DEV000396,USR000275,Streaming Stick,Windows,2025-11-06
DEV000397,USR000276,Mobile,iOS,2025-05-19
DEV000398,USR000276,Mobile,iOS,2025-08-16
DEV000399,USR000277,Smart TV,Android,2025-07-05
DEV000400,USR000277,Mobile,macOS,2025-10-28
DEV000401,USR000278,Streaming Stick,macOS,2025-08-19
DEV000402,USR000279,Smart TV,iOS,2025-04-05
DEV000403,USR000280,Mobile,Android,2025-03-06
DEV000404,USR000280,Mobile,Android,2025-05-01
DEV000405,USR000281,Smart TV,iOS,2025-02-10
DEV000406,USR000281,Mobile,Smart TV OS,2025-04-18
DEV000407,USR000282,Laptop,Windows,2025-02-22
DEV000408,USR000283,Mobile,iOS,2025-08-31
DEV000409,USR000284,Mobile,Android,2025-01-14
DEV000410,USR000285,Gaming Console,Windows,2025-09-26
DEV000411,USR000285,Mobile,Android,2025-02-12
DEV000412,USR000286,Smart TV,Android,2025-11-13
DEV000413,USR000287,Tablet,Smart TV OS,2025-07-19
DEV000414,USR000288,Laptop,iOS,2025-05-07
DEV000415,USR000289,Tablet,Smart TV OS,2025-08-15
DEV000416,USR000289,Mobile,iOS,2025-11-17
DEV000417,USR000290,Mobile,iOS,2025-09-27
DEV000418,USR000291,Laptop,Smart TV OS,2025-01-15
DEV000419,USR000291,Streaming Stick,Android,2025-01-18
DEV000420,USR000292,Smart TV,iOS,2025-06-16
DEV000421,USR000292,Smart TV,Android,2025-09-01
DEV000422,USR000293,Smart TV,Windows,2025-10-04
DEV000423,USR000294,Mobile,Windows,2025-10-08
DEV000424,USR000294,Smart TV,Smart TV OS,2025-08-16
DEV000425,USR000294,Gaming Console,Smart TV OS,2025-03-11
DEV000426,USR000295,Smart TV,Smart TV OS,2025-10-04
DEV000427,USR000295,Mobile,Windows,2025-04-01
DEV000428,USR000295,Smart TV,iOS,2025-10-30
DEV000429,USR000296,Streaming Stick,iOS,2025-11-20
DEV000430,USR000297,Streaming Stick,iOS,2025-10-16
DEV000431,USR000297,Laptop,iOS,2025-08-11
DEV000432,USR000298,Smart TV,iOS,2025-11-24
DEV000433,USR000299,Mobile,Android,2025-06-27
DEV000434,USR000300,Mobile,Android,2025-04-27
DEV000435,USR000301,Smart TV,Smart TV OS,2025-08-15
DEV000436,USR000301,Tablet,Windows,2025-06-07
DEV000437,USR000302,Mobile,Android,2025-05-14
DEV000438,USR000303,Laptop,Android,2025-01-06
DEV000439,USR000304,Laptop,iOS,2025-03-11
DEV000440,USR000305,Streaming Stick,Smart TV OS,2025-08-29
DEV000441,USR000306,Mobile,Smart TV OS,2025-09-09
DEV000442,USR000307,Laptop,Windows,2025-09-02
DEV000443,USR000307,Smart TV,Smart TV OS,2025-06-03
DEV000444,USR000307,Smart TV,Android,2025-01-05
DEV000445,USR000308,Smart TV,Android,2025-05-30
DEV000446,USR000308,Gaming Console,iOS,2025-11-02
DEV000447,USR000309,Smart TV,Android,2025-01-04
DEV000448,USR000310,Smart TV,Android,2025-04-07
DEV000449,USR000311,Smart TV,Android,2025-10-15
DEV000450,USR000312,Smart TV,iOS,2025-05-08
DEV000451,USR000313,Gaming Console,Windows,2025-11-27
DEV000452,USR000314,Mobile,Smart TV OS,2025-07-13
DEV000453,USR000315,Laptop,iOS,2025-02-10
DEV000454,USR000316,Tablet,iOS,2025-05-03
DEV000455,USR000317,Smart TV,Windows,2025-11-10
DEV000456,USR000318,Laptop,Smart TV OS,2025-05-20
DEV000457,USR000318,Smart TV,iOS,2025-05-26
DEV000458,USR000319,Laptop,Windows,2025-09-30
DEV000459,USR000319,Mobile,Android,2025-05-18
DEV000460,USR000320,Smart TV,Smart TV OS,2025-02-05
DEV000461,USR000321,Smart TV,macOS,2025-05-29
DEV000462,USR000322,Smart TV,Android,2025-08-22
DEV000463,USR000323,Tablet,iOS,2025-05-20
DEV000464,USR000323,Gaming Console,macOS,2025-11-15
DEV000465,USR000324,Mobile,iOS,2025-06-14
DEV000466,USR000325,Smart TV,macOS,2025-01-26
DEV000467,USR000326,Smart TV,Android,2025-01-12
DEV000468,USR000326,Streaming Stick,Smart TV OS,2025-04-06
DEV000469,USR000326,Mobile,macOS,2025-02-22
DEV000470,USR000327,Tablet,macOS,2025-03-06
DEV000471,USR000328,Tablet,Smart TV OS,2025-01-05
DEV000472,USR000328,Smart TV,iOS,2025-04-30
DEV000473,USR000329,Laptop,Android,2025-01-08
DEV000474,USR000330,Mobile,Windows,2025-06-25
DEV000475,USR000331,Smart TV,Windows,2025-09-13
DEV000476,USR000332,Smart TV,Android,2025-08-26
DEV000477,USR000332,Laptop,Windows,2025-01-17
DEV000478,USR000332,Tablet,Android,2025-06-19
DEV000479,USR000333,Smart TV,iOS,2025-03-16
DEV000480,USR000334,Smart TV,iOS,2025-07-20
DEV000481,USR000335,Mobile,Windows,2025-08-29
DEV000482,USR000336,Smart TV,Android,2025-05-09
DEV000483,USR000337,Smart TV,Smart TV OS,2025-01-07
DEV000484,USR000337,Tablet,macOS,2025-03-04
DEV000485,USR000338,Smart TV,Windows,2025-05-08
DEV000486,USR000338,Laptop,Android,2025-07-17
DEV000487,USR000338,Laptop,Android,2025-08-15
DEV000488,USR000339,Mobile,Windows,2025-01-18
DEV000489,USR000340,Smart TV,iOS,2025-02-18
DEV000490,USR000341,Laptop,Android,2025-04-17
DEV000491,USR000342,Streaming Stick,iOS,2025-06-09
DEV000492,USR000343,Mobile,Android,2025-03-23
DEV000493,USR000343,Gaming Console,Windows,2025-11-19
DEV000494,USR000343,Laptop,Windows,2025-01-22
DEV000495,USR000344,Mobile,iOS,2025-10-09
DEV000496,USR000344,Mobile,Android,2025-09-24
DEV000497,USR000345,Laptop,iOS,2025-09-04
DEV000498,USR000346,Smart TV,macOS,2025-04-12
DEV000499,USR000346,Smart TV,Android,2025-07-04
DEV000500,USR000347,Smart TV,iOS,2025-04-22
