user_id,country,language,signup_date,acquisition_channel,age_group,account_status
USR000343,India,Tamil,2025-06-14,Social Media,25-34,Active
USR000344,Canada,Hindi,2025-04-26,Social Media,25-34,Active
USR000345,Germany,English,2025-03-17,Referral,25-34,Active
USR000346,Brazil,Spanish,2025-07-27,App Store,35-44,Active
USR000347,United States,Spanish,2025-07-03,Organic Search,35-44,Active
USR000348,India,Telugu,2025-05-05,Partner Bundle,35-44,Active
USR000349,UAE,French,2025-04-28,Organic Search,25-34,Active
USR000350,France,Hindi,2025-02-23,Partner Bundle,18-24,Active
USR000351,Canada,Hindi,2025-06-13,Organic Search,25-34,Active
USR000352,India,Telugu,2025-07-31,Partner Bundle,35-44,Active
USR000353,UAE,Bengali,2025-02-20,App Store,45-54,Inactive
USR000354,India,German,2025-02-26,Organic Search,18-24,Inactive
USR000355,India,Hindi,2025-03-27,Organic Search,25-34,Active
USR000356,Germany,Spanish,2025-03-13,Paid Ads,55+,Active
USR000357,United Kingdom,English,2025-04-16,App Store,25-34,Active
USR000358,India,French,2025-04-12,Paid Ads,18-24,Active
USR000359,Canada,Telugu,2025-02-19,Social Media,25-34,Inactive
USR000360,Germany,Portuguese,2025-08-07,Organic Search,45-54,Active
USR000361,France,Spanish,2025-02-24,Social Media,35-44,Active
USR000362,India,French,2025-04-14,Organic Search,25-34,Active
USR000363,India,Tamil,2025-03-07,Paid Ads,18-24,Active
USR000364,United States,English,2025-07-10,Organic Search,18-24,Active
USR000365,France,German,2025-04-06,App Store,25-34,Active
USR000366,India,German,2025-04-26,Referral,35-44,Active
USR000367,United States,Portuguese,2025-08-06,Referral,25-34,Active
USR000368,India,Portuguese,2025-03-30,Social Media,18-24,Inactive
USR000369,India,English,2025-05-08,Referral,25-34,Active
USR000370,UAE,Spanish,2025-03-04,Referral,25-34,Active
USR000371,India,French,2025-04-14,Organic Search,25-34,Active
USR000372,Germany,English,2025-05-27,Partner Bundle,35-44,Inactive
USR000373,United States,Portuguese,2025-02-21,Partner Bundle,35-44,Active
USR000374,India,Hindi,2025-04-01,Social Media,25-34,Active
USR000375,Singapore,German,2025-05-10,Organic Search,25-34,Active
USR000376,Canada,Spanish,2025-02-02,Social Media,25-34,Inactive
USR000377,Canada,French,2025-05-26,Partner Bundle,35-44,Inactive
USR000378,Germany,French,2025-05-06,Social Media,35-44,Active
USR000379,United States,Hindi,2025-03-21,Partner Bundle,25-34,Active
USR000380,United Kingdom,Hindi,2025-04-22,Organic Search,25-34,Active
USR000381,India,Bengali,2025-08-14,App Store,25-34,Inactive
USR000382,France,Hindi,2025-02-10,Paid Ads,25-34,Active
USR000383,United Kingdom,Telugu,2025-04-15,Paid Ads,25-34,Active
USR000384,India,English,2025-07-27,Organic Search,25-34,Active
USR000385,UAE,English,2025-03-05,Partner Bundle,18-24,Active
USR000386,United Kingdom,Spanish,2025-03-25,Organic Search,18-24,Inactive
USR000387,United States,Spanish,2025-06-23,Paid Ads,55+,Active
USR000388,India,Portuguese,2025-04-24,Paid Ads,25-34,Inactive
USR000389,UAE,Hindi,2025-03-23,Paid Ads,45-54,Active
USR000390,Brazil,French,2025-02-14,App Store,35-44,Active
USR000391,United Kingdom,Spanish,2025-06-11,Partner Bundle,35-44,Inactive
USR000392,United States,Telugu,2025-08-21,Organic Search,25-34,Active
USR000393,United States,Tamil,2025-04-24,Referral,35-44,Active
USR000394,India,Portuguese,2025-06-08,Partner Bundle,35-44,Active
USR000395,United Kingdom,Bengali,2025-03-19,App Store,35-44,Inactive
USR000396,India,Hindi,2025-03-01,Partner Bundle,55+,Inactive
USR000397,Singapore,Spanish,2025-02-09,Referral,25-34,Active
USR000398,India,English,2025-05-18,Paid Ads,25-34,Active
USR000399,Australia,Bengali,2025-07-11,Organic Search,35-44,Active
USR000400,India,Hindi,2025-04-05,Social Media,45-54,Active
USR000401,India,French,2025-06-06,Organic Search,25-34,Active
USR000402,United Kingdom,Hindi,2025-04-09,Paid Ads,45-54,Active
USR000403,Germany,Hindi,2025-05-27,Partner Bundle,45-54,Active
USR000404,Australia,Spanish,2025-04-05,Organic Search,25-34,Active
USR000405,India,German,2025-01-19,Social Media,25-34,Inactive
USR000406,India,Bengali,2025-03-05,Paid Ads,25-34,Inactive
USR000407,UAE,Hindi,2025-03-19,Paid Ads,25-34,Active
USR000408,Australia,German,2025-04-11,Social Media,18-24,Inactive
USR000409,Australia,French,2025-05-16,Organic Search,45-54,Active
USR000410,India,Spanish,2025-02-02,App Store,35-44,Active
USR000411,Germany,Tamil,2025-02-11,Organic Search,25-34,Active
USR000412,United States,Portuguese,2025-04-06,Organic Search,25-34,Inactive
USR000413,United States,Bengali,2025-07-16,Partner Bundle,35-44,Active
USR000414,India,Hindi,2025-05-10,Referral,25-34,Active
USR000415,India,English,2025-02-16,App Store,25-34,Active
USR000416,United States,Bengali,2025-01-31,Partner Bundle,18-24,Active
USR000417,India,German,2025-03-26,Partner Bundle,45-54,Active
USR000418,United States,Hindi,2025-04-09,Organic Search,35-44,Active
USR000419,Australia,English,2025-06-29,Organic Search,35-44,Active
USR000420,Brazil,Bengali,2025-02-11,Organic Search,35-44,Active
USR000421,India,Bengali,2025-05-24,Paid Ads,25-34,Inactive
USR000422,India,Tamil,2025-02-21,Organic Search,18-24,Active
USR000423,United States,German,2025-07-14,Referral,25-34,Active
USR000424,India,German,2025-06-16,App Store,25-34,Active
USR000425,India,Tamil,2025-06-12,Organic Search,35-44,Active
USR000426,United States,German,2025-06-23,Social Media,18-24,Active
USR000427,United Kingdom,Hindi,2025-03-22,Paid Ads,45-54,Active
